path,type_pre,sha256_pre,bytes_pre,mtime_utc_pre,mode_pre,link_target_pre,link_resolved_pre,link_safe_pre,type_post,sha256_post,bytes_post,mtime_utc_post,mode_post,link_target_post,link_resolved_post,link_safe_post,type_changed,sha256_changed,bytes_changed,mtime_utc_changed,mode_changed,link_target_changed,link_resolved_changed,link_safe_changed
,directory,,,2026-08-14 14:49:10 UTC,755,,,,directory,,,2026-08-14 15:25:03 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
artifacts,directory,,,2026-08-14 14:49:00 UTC,755,,,,directory,,,2026-08-14 15:15:09 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
artifacts/08_diagnostics,directory,,,2026-08-14 14:27:08 UTC,755,,,,directory,,,2026-08-14 15:15:09 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
artifacts/09_tables,directory,,,2026-08-14 14:49:00 UTC,755,,,,directory,,,2026-08-14 15:15:09 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
artifacts/12_manifests,directory,,,2026-08-14 12:21:51 UTC,755,,,,directory,,,2026-08-14 15:22:36 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,file,684046903baae35c8cf624bd3d0b317f0bdd5a31daf548d520a5ca759d7b43d8,22735,2026-08-14 11:59:31 UTC,644,,,,file,08da3090e895f8d99f3a4a32eddb2a3c9d8582076ed2fe69d1b5795a8415a54f,22735,2026-08-14 13:59:18 UTC,644,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
notebooks,directory,,,2026-08-14 14:45:55 UTC,755,,,,directory,,,2026-08-14 15:25:03 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
notebooks/hypotheses,directory,,,2026-08-14 15:02:57 UTC,755,,,,directory,,,2026-08-14 15:25:03 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
notebooks/hypotheses/H01.html,file,ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72,1371249,2026-08-14 12:21:38 UTC,644,,,,file,6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa,1626484,2026-08-14 15:24:32 UTC,644,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
search.json,file,708a35b9699afbbafffc0d0f695a1de5adeacbaf64075608f4ac791a918c972a,1741475,2026-08-14 15:02:58 UTC,644,,,,file,d88fe600c6060d43ad36199e85bbea97e668a36a51d68ef59a032a10de7ad4e0,1741483,2026-08-14 15:22:37 UTC,644,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
site_libs,directory,,,2026-08-14 14:49:10 UTC,755,,,,directory,,,2026-08-14 15:23:04 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
site_libs/bootstrap,directory,,,2026-08-14 15:02:58 UTC,755,,,,directory,,,2026-08-14 15:23:04 UTC,755,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css,file,b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c,498438,2026-08-14 15:02:53 UTC,644,,,,file,b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c,498438,2026-08-14 15:21:48 UTC,644,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
sitemap.xml,file,826efde367e281dcf23f29f8642f2fafb1f8eebe4a4fa4811674cdfd60284bdd,5400,2026-08-14 15:02:58 UTC,644,,,,file,541e3dce3cf9be1346e735464d59b213cd2bdbcb19e67bedfc70131b053fe3b7,5400,2026-08-14 15:22:37 UTC,644,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
