type,label
table,tbl-h01-deviations
table,tbl-h01-metric-registry
table,tbl-h01-primary-publication-summary
table,tbl-h01-primary-tests
table,tbl-h01-primary-effects
table,tbl-h01-primary-site-deviation-matrix
table,tbl-h01-primary-site-contrasts
table,tbl-h01-primary-r2
table,tbl-h01-chest-tests
table,tbl-h01-chest-effects
table,tbl-h01-chest-site-contrasts
table,tbl-h01-chest-r2
table,tbl-h01-samples-primary-near-eye
table,tbl-h01-samples-primary-chest
table,tbl-h01-samples-primary-near-eye-matched
table,tbl-h01-samples-primary-chest-matched
table,tbl-h01-samples-gap-near-eye
table,tbl-h01-samples-gap-chest
table,tbl-h01-samples-gap-near-eye-matched
table,tbl-h01-samples-gap-chest-matched
table,tbl-h01-diagnostic-assessment
table,tbl-h01-representative-diagnostics
table,tbl-h01-sensitivity-classification
table,tbl-h01-sensitivity-support
table,tbl-h01-paired-placement
table,tbl-h01-l10-noon-support
table,tbl-h01-l10-noon-effects
table,tbl-h01-period-sensitivity
table,tbl-h01-scope-sensitivity
table,tbl-h01-marginalization
table,tbl-h01-influence
table,tbl-h01-latitude-loo
table,tbl-h01-participant-formulas
table,tbl-h01-participant-day-formulas
table,tbl-h01-preregistered-scope-formulas
table,tbl-h01-formula-manifest
figure,fig-h01-diagnostic-assessment
figure,fig-h01-diagnostic-mean-mel-edi
figure,fig-h01-diagnostic-pre-sleep
figure,fig-h01-diagnostic-sleep-below-1
figure,fig-h01-diagnostic-wake-250
figure,fig-h01-model-support
figure,fig-h01-paired-placement
figure,fig-h01-r2-intervals
figure,fig-h01-site-contrasts-chest
figure,fig-h01-site-contrasts-near-eye
