"manifest","manifest_path","row","path","recorded_sha256","observed_sha256","recorded_bytes","observed_bytes","exists","sha256_exact","bytes_exact","row_exact"
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",1,"artifacts/06_model_data/H01/metric_contract.csv","006042e8589fc1892a5e26e6f148fe3a2a31e33be7406502bc682048b6cb3307","006042e8589fc1892a5e26e6f148fe3a2a31e33be7406502bc682048b6cb3307",4215,4215,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",2,"artifacts/08_diagnostics/H01/H01_model_diagnostics.csv","240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e","240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e",53769,53769,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",3,"artifacts/08_diagnostics/H01/bootstrap_pilot/response_family_change/H01_response_family_bootstrap_pilot_audit.csv","e4a04bbe2db3172e6f713bd9b9714c847226bc724ab2b271cecd10e9b723c4fc","e4a04bbe2db3172e6f713bd9b9714c847226bc724ab2b271cecd10e9b723c4fc",2966,2966,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",4,"artifacts/08_diagnostics/H01/bootstrap_pilot/response_family_change/H01_response_family_bootstrap_pilot_runtime.csv","3cde3f51901a6e6f4e301d64ce2802a64f3692dfa27b804e052a638a073052b4","3cde3f51901a6e6f4e301d64ce2802a64f3692dfa27b804e052a638a073052b4",6148,6148,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",5,"artifacts/08_diagnostics/H01/reporting/H01_reporting_provenance.csv","fe497366777c72a8b9a62225928ea5b20ea62b984dd7097c583004f93247f675","fe497366777c72a8b9a62225928ea5b20ea62b984dd7097c583004f93247f675",1142,1142,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",6,"artifacts/09_tables/H01/H01_exact_samples.csv","24145d978cf42fc4cbad5150e022493e7c33b4dea785b5a3b8137a74b3299558","24145d978cf42fc4cbad5150e022493e7c33b4dea785b5a3b8137a74b3299558",33811,33811,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",7,"artifacts/09_tables/H01/H01_model_level_tests.csv","947bc2ea33866480c9c2bf71080ec2f249877e46f9457e770b7dcc459a5847c6","947bc2ea33866480c9c2bf71080ec2f249877e46f9457e770b7dcc459a5847c6",230414,230414,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",8,"artifacts/09_tables/H01/H01_r2_bootstrap_summaries.csv","5e7b2a8a66fa310d7326adbf99349e139c88262457353c6b149ba06d54494aaa","5e7b2a8a66fa310d7326adbf99349e139c88262457353c6b149ba06d54494aaa",357953,357953,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",9,"artifacts/09_tables/H01/H01_site_deviations.csv","f6840e0c4bb099585721dd63ba4f332412d4c12ff1d35f6a95566c1a04628d6f","f6840e0c4bb099585721dd63ba4f332412d4c12ff1d35f6a95566c1a04628d6f",490776,490776,TRUE,TRUE,TRUE,TRUE
"reporting","artifacts/12_manifests/H01_reporting_artifacts.csv",10,"artifacts/09_tables/H01/H01_site_estimates.csv","79fa98f11a29bca2869a517cb9dc221039be90adedcfc65cf5c7629a4c9559ab","79fa98f11a29bca2869a517cb9dc221039be90adedcfc65cf5c7629a4c9559ab",445252,445252,TRUE,TRUE,TRUE,TRUE
