gate,status,detail,verification_source
revision2_source_parse_and_builder_identity,PASS,"The new builder and verifier parse, and the selected builder is frozen.",sealed_initial_verifier
candidate_output_scope,PASS,Exactly the 13 authorized revision-2 candidate products exist.,sealed_initial_verifier
candidate_output_manifest_non_circular,PASS,The 12-row candidate manifest excludes itself and stays in the temp root.,sealed_initial_verifier
candidate_output_identities,PASS,Every candidate product has the identity recorded by its manifest.,sealed_initial_verifier
frozen_input_identities,PASS,All 21 frozen H04 and H03 display-reference identities are exact.,sealed_initial_verifier
six_category_support_source,PASS,"All six P, D, and H header supports match the accepted source.",sealed_initial_verifier
exact_frame_contract,PASS,The five-category interaction frame and separate Other-only display support remain exact.,sealed_initial_verifier
accepted_named_table_contract,PASS,The accepted HTML still supplies the same five named interaction columns.,sealed_initial_verifier
panel_d_source_exactness,PASS,All 60 source rows preserve the 50 accepted named-category rows and add only one frozen Other summary plus nine explicit non-estimable cells.,sealed_initial_verifier
interaction_family_preservation,PASS,The 44-member named interaction family and its 17 FDR labels are unchanged.,sealed_initial_verifier
other_display_only_source_contract,PASS,Other is the sole frozen additive display-only estimate and has no p-value.,sealed_initial_verifier
panel_d_model_source_flags,PASS,The vector exposes the named interaction and Other additive source flags.,sealed_initial_verifier
other_site_cells_non_estimable,PASS,All nine Other site cells contain only an explicit non-estimable status.,sealed_initial_verifier
vector_cell_counts,PASS,"The vector has six summaries, 54 site cells, 44 estimable cells, and 17 labels.",sealed_initial_verifier
other_vector_numeric_tokens,PASS,"Verifier continuation: Six Other numeric attributes agree at tolerance 1e-12; source model, display-only role, and absent p-value are exact.",authorized_continuation
compact_header_support,PASS,"Verifier continuation: Six rowwise scalar-formatted P/D/H strings, one support line per header, allowed y positions, and absence of R/WH/S are exact.",authorized_continuation
h03_aligned_table_geometry,PASS,"Panel D uses the H03 content edge, compact 66-point header, borderless site markers, and no visible Site heading.",sealed_initial_verifier
uppercase_left_panel_tags,PASS,The four uppercase panel tags remain at the accepted left tag edge.,sealed_initial_verifier
temporal_svg_identity,PASS,Panels A-C are byte-identical to the accepted SVG after exactly the three authorized uppercase tag moves.,sealed_initial_verifier
temporal_png_decoded_pixel_identity,PASS,"Verifier continuation: Numeric channel-reduced comparison finds exactly 5,650 changed pixels, all inside all six authorized old/new tag boxes.",authorized_continuation
reader_language_contract,PASS,"Reader text uses the approved H03-aligned vocabulary, distinguishes Other, explains P/D/H and 95% CIs, and exposes no internal H04 label.",sealed_initial_verifier
candidate_dimensions,PASS,The full and 170 mm raster/vector previews have the intended dimensions.,sealed_initial_verifier
