"check","pass","detail"
"Exact accepted main reader text",TRUE,""
"Exact accepted SI reader text",TRUE,""
"19 accepted manuscript gt tables",TRUE,""
"16 accepted SI gt tables",TRUE,""
"Main table full structure, cells and annotations 1",TRUE,""
"Main table full structure, cells and annotations 2",TRUE,""
"Main table full structure, cells and annotations 3",TRUE,""
"Main table full structure, cells and annotations 4",TRUE,""
"Main table full structure, cells and annotations 5",TRUE,""
"Main table full structure, cells and annotations 6",TRUE,""
"Main table full structure, cells and annotations 7",TRUE,""
"Main table full structure, cells and annotations 8",TRUE,""
"Main table full structure, cells and annotations 9",TRUE,""
"Main table full structure, cells and annotations 10",TRUE,""
"Main table full structure, cells and annotations 11",TRUE,""
"Main table full structure, cells and annotations 12",TRUE,""
"Main table full structure, cells and annotations 13",TRUE,""
"Main table full structure, cells and annotations 14",TRUE,""
"Main table full structure, cells and annotations 15",TRUE,""
"Main table full structure, cells and annotations 16",TRUE,""
"Main table full structure, cells and annotations 17",TRUE,""
"Main table full structure, cells and annotations 18",TRUE,""
"Main table full structure, cells and annotations 19",TRUE,""
"SI table full structure, cells and annotations 1",TRUE,""
"SI table full structure, cells and annotations 2",TRUE,""
"SI table full structure, cells and annotations 3",TRUE,""
"SI table full structure, cells and annotations 4",TRUE,""
"SI table full structure, cells and annotations 5",TRUE,""
"SI table full structure, cells and annotations 6",TRUE,""
"SI table full structure, cells and annotations 7",TRUE,""
"SI table full structure, cells and annotations 8",TRUE,""
"SI table full structure, cells and annotations 9",TRUE,""
"SI table full structure, cells and annotations 10",TRUE,""
"SI table full structure, cells and annotations 11",TRUE,""
"SI table full structure, cells and annotations 12",TRUE,""
"SI table full structure, cells and annotations 13",TRUE,""
"SI table full structure, cells and annotations 14",TRUE,""
"SI table full structure, cells and annotations 15",TRUE,""
"SI table full structure, cells and annotations 16",TRUE,""
"Accepted display subtree //*[@id='tbl-metric-context']",TRUE,""
"Accepted display subtree //*[@id='supp-table-s2']",TRUE,""
"Accepted display subtree //*[@id='tbl-brown-adherence']",TRUE,""
"Accepted delivery map has 24 figure appearances",TRUE,""
"Accepted HTML has 23 SVG image elements",TRUE,"The delivery map counts S8 twice for Word assembly; HTML preserves C's single full SVG."
"23 unique SVG payloads",TRUE,""
"Exact SVG figure payloads, labels and crop styles",TRUE,""
"Exact SI SVG figure payloads",TRUE,""
"17 accepted S2 distribution images",TRUE,""
"Exact S2 distribution payloads",TRUE,""
"170 whole accepted mean/SD runs",TRUE,"170"
"All mean/SD runs exact",TRUE,""
"Exact accepted entry-local display CSS",TRUE,""
"Accepted column-layout CSS order009-s2-column-layout",TRUE,""
"Accepted column-layout CSS order007-column-layout",TRUE,""
"Authorized editorial utility removed",TRUE,""
