analysis_order,run_id,placement,placement_label,display_order,site,site_name,site_color,sex,participants,participant_days,observations_30_minute,nominal_observation_hours
1,main__glasses__all_available,glasses,Near eye,1,RISE,Borås (SE),#88CCEE,Female,6,37,1703,851.5
1,main__glasses__all_available,glasses,Near eye,1,RISE,Borås (SE),#88CCEE,Male,7,41,1916,958
1,main__glasses__all_available,glasses,Near eye,2,THUAS,Delft (NL),#117733,Female,6,36,1671,835.5
1,main__glasses__all_available,glasses,Near eye,2,THUAS,Delft (NL),#117733,Male,7,42,1925,962.5
1,main__glasses__all_available,glasses,Near eye,3,BAUA,Dortmund (DE),#DDCC77,Female,9,53,2447,1223.5
1,main__glasses__all_available,glasses,Near eye,3,BAUA,Dortmund (DE),#DDCC77,Male,9,54,2512,1256
1,main__glasses__all_available,glasses,Near eye,4,MPI,Tübingen (DE),#DDCC77,Female,14,82,3764,1882
1,main__glasses__all_available,glasses,Near eye,4,MPI,Tübingen (DE),#DDCC77,Male,12,68,3136,1568
1,main__glasses__all_available,glasses,Near eye,5,TUM,Munich (DE),#DDCC77,Female,6,36,1659,829.5
1,main__glasses__all_available,glasses,Near eye,5,TUM,Munich (DE),#DDCC77,Male,4,24,1099,549.5
1,main__glasses__all_available,glasses,Near eye,6,FUSPCEU,Madrid (ES),#CC6677,Female,15,84,3933,1966.5
1,main__glasses__all_available,glasses,Near eye,6,FUSPCEU,Madrid (ES),#CC6677,Male,8,45,2119,1059.5
1,main__glasses__all_available,glasses,Near eye,7,IZTECH,Izmir (TR),#332288,Female,11,65,3027,1513.5
1,main__glasses__all_available,glasses,Near eye,7,IZTECH,Izmir (TR),#332288,Male,6,36,1675,837.5
1,main__glasses__all_available,glasses,Near eye,8,UCR,San José (CR),#44AA99,Female,4,21,955,477.5
1,main__glasses__all_available,glasses,Near eye,8,UCR,San José (CR),#44AA99,Male,2,11,514,257
1,main__glasses__all_available,glasses,Near eye,9,KNUST,Kumasi (GH),#AA4499,Female,8,44,2022,1011
1,main__glasses__all_available,glasses,Near eye,9,KNUST,Kumasi (GH),#AA4499,Male,7,37,1679,839.5
2,main__chest__all_available,chest,Chest,1,RISE,Borås (SE),#88CCEE,Female,6,37,1703,851.5
2,main__chest__all_available,chest,Chest,1,RISE,Borås (SE),#88CCEE,Male,10,59,2769,1384.5
2,main__chest__all_available,chest,Chest,2,THUAS,Delft (NL),#117733,Female,6,35,1623,811.5
2,main__chest__all_available,chest,Chest,2,THUAS,Delft (NL),#117733,Male,9,58,2684,1342
2,main__chest__all_available,chest,Chest,3,BAUA,Dortmund (DE),#DDCC77,Female,11,61,2827,1413.5
2,main__chest__all_available,chest,Chest,3,BAUA,Dortmund (DE),#DDCC77,Male,9,53,2481,1240.5
2,main__chest__all_available,chest,Chest,5,TUM,Munich (DE),#DDCC77,Female,6,36,1659,829.5
2,main__chest__all_available,chest,Chest,5,TUM,Munich (DE),#DDCC77,Male,4,24,1098,549
2,main__chest__all_available,chest,Chest,6,FUSPCEU,Madrid (ES),#CC6677,Female,14,79,3702,1851
2,main__chest__all_available,chest,Chest,6,FUSPCEU,Madrid (ES),#CC6677,Male,8,44,2081,1040.5
2,main__chest__all_available,chest,Chest,7,IZTECH,Izmir (TR),#332288,Female,11,66,3074,1537
2,main__chest__all_available,chest,Chest,7,IZTECH,Izmir (TR),#332288,Male,6,36,1675,837.5
2,main__chest__all_available,chest,Chest,8,UCR,San José (CR),#44AA99,Female,24,141,6496,3248
2,main__chest__all_available,chest,Chest,8,UCR,San José (CR),#44AA99,Male,15,89,4132,2066
2,main__chest__all_available,chest,Chest,9,KNUST,Kumasi (GH),#AA4499,Female,8,44,2016,1008
2,main__chest__all_available,chest,Chest,9,KNUST,Kumasi (GH),#AA4499,Male,7,40,1822,911
