data_scenario,placement,sample_scenario,metric_order,metric_id,manuscript_name,abbreviation,statistic,degrees_freedom,p_raw,comparison_method,comparison_status,predictor,estimand,term,estimate_model,standard_error,conf_low_model,conf_high_model,interval_distribution,estimate_status,estimate_practical,conf_low_practical,conf_high_practical,practical_effect_type,practical_unit,estimate_model_per_year,conf_low_model_per_year,conf_high_model_per_year,estimate_minutes,conf_low_minutes,conf_high_minutes,estimate_practical_per_year,conf_low_practical_per_year,conf_high_practical_per_year,response_model_scale_sd,standardized_estimate,standardized_conf_low,standardized_conf_high,observations,participants,participant_days,contributing_participant_days,metric_support_valid_hours,metric_support_expected_hours,sites,female_participants,male_participants,age_min,age_max,final_converged,final_positive_definite_hessian,final_singular,final_max_gradient,final_convergence_message,reduced_formula,full_formula,reduced_warnings,full_ml_warnings,final_warnings,fit_errors,p_adjusted,raw_significant,adjusted_significant,p_raw_display,p_adjusted_display
primary,chest,preregistered_exclusions_applied,1,interdaily_stability,Interdaily stability,IS,0.08066985587195602,1,0.7768268445991451,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,0.010807865358225336,0.03805259555531885,-0.06444845900043708,0.08606418971688776,t(135),ESTIMABLE,1.0108664813158226,0.937584437055797,1.0898762849100283,odds ratio,odds ratio,0.0010807865358225337,-0.006444845900043708,0.008606418971688776,,,,1.0010813707960584,0.993575877575525,1.0086435606713264,0.4160143156013009,0.025979551551258057,-0.15491884914413157,0.2068779522466477,144,144,,848,19639.55,20352,8,81,63,18,64,TRUE,TRUE,FALSE,,,response ~ site,response ~ site + age_decade,,,,,0.8253785223865917,FALSE,FALSE,0.777,0.825
primary,chest,preregistered_exclusions_applied,2,intradaily_variability,Intradaily variability,IV,3.397499144270163,1,0.06748847585852985,nested partial F test,ESTIMABLE,age,per 10-year increase,age_decade,-0.0637843434197667,0.034604646041479385,-0.13222168465259804,0.004652997813064622,t(135),ESTIMABLE,-0.0637843434197667,-0.13222168465259804,0.004652997813064622,difference,dimensionless,-0.00637843434197667,-0.013222168465259804,4.6529978130646215e-4,,,,-0.00637843434197667,-0.013222168465259804,4.6529978130646215e-4,0.40153566429280535,-0.1588510040125708,-0.3292900143390007,0.011588006313859063,144,144,,848,19639.55,20352,8,81,63,18,64,TRUE,TRUE,FALSE,,,response ~ site,response ~ site + age_decade,,,,,0.14341301119937594,FALSE,FALSE,0.067,0.143
primary,chest,preregistered_exclusions_applied,3,daily_geometric_mean_medi,Mean melEDI,Mean,6.5933743515747665,1,0.010235897761004635,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.06691721876199219,0.02661228431324929,0.014758099961683355,0.11907633756230103,normal,ESTIMABLE,1.1665872316895531,1.0345657577746168,1.315456034489764,ratio,ratio,0.006691721876199219,0.0014758099961683356,0.011907633756230104,,,,1.0155275783082711,1.0034039584501608,1.02779768170098,0.44272788578231626,0.15114751275209837,0.03333447120821237,0.26896055429598437,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,TRUE,TRUE,FALSE,1.0846861187019385e-5,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.02900171032284647,TRUE,TRUE,0.010,0.029
primary,chest,preregistered_exclusions_applied,4,m10_mean_medi,Brightest 10 h mean,M10mean,12.884528366232644,1,3.313096239841375e-4,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.1326491077558197,0.03730065600242205,0.05954116539135472,0.20575705012028467,normal,ESTIMABLE,1.357216427905512,1.1469412311782645,1.6060425609464353,ratio,ratio,0.01326491077558197,0.005954116539135472,0.020575705012028468,,,,1.0310148266876225,1.0138042710762658,1.0485175523291341,0.6857262239865662,0.1934432476340855,0.08682935449836487,0.30005714076980605,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,1.6939338820520788e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.0014080659019325842,TRUE,TRUE,<0.001,0.001
primary,chest,preregistered_exclusions_applied,5,l10_mean_medi,Darkest 10 h mean,L10mean,2.0380610787220235,1,0.15340507502050676,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-0.028680550273176356,0.02066327952977016,-0.0691798339540096,0.011818733407656892,normal,ESTIMABLE,0.936093974424718,0.8527469329068644,1.0275873124130834,ratio,ratio,-0.0028680550273176356,-0.00691798339540096,0.0011818733407656893,,,,0.9934178173422034,0.9841969540143973,1.0027250702083668,0.3268313319649561,-0.08775336838345589,-0.21166830468208378,0.03616156791517202,850,145,850,850,,,8,82,63,18,64,TRUE,TRUE,FALSE,4.142464149481384e-7,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.2607886275348615,FALSE,FALSE,0.153,0.261
primary,chest,preregistered_exclusions_applied,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,22.44994707284968,1,2.1569143483469117e-6,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.289347378085913,0.05906857251157138,0.17357510334504048,0.4051196528267855,normal,ESTIMABLE,1.335555590700795,1.1895500226006468,1.4994819065721396,ratio,ratio,0.0289347378085913,0.01735751033450405,0.04051196528267855,,,,1.0293574141623965,1.017509027299934,1.041343769600543,1.4270203219698196,0.20276331992701113,0.1216346401468496,0.2838919997071727,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,3.66675439218975e-5,TRUE,TRUE,<0.001,<0.001
primary,chest,preregistered_exclusions_applied,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,9.203345285787691,1,0.002415732595844024,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.15217522172851602,0.04950076673739537,0.05515550171610285,0.2491949417409292,normal,ESTIMABLE,1.164364240473458,1.0567049213288608,1.2829921174100474,ratio,ratio,0.015217522172851602,0.005515550171610285,0.02491949417409292,,,,1.0153338982324576,1.00553078882209,1.0252325800063768,2.250278961115013,0.06762504754215594,0.024510517437701725,0.11073957764661015,772,145,772,772,9735.45,10142.816666666668,8,82,63,18,64,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.008213490825869682,TRUE,TRUE,0.002,0.008
primary,chest,preregistered_exclusions_applied,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,2.1696748933841263,1,0.14075598817766138,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,-0.086517867616871455,0.0605276985716539,-0.20514997688440953,0.03211424165066662,normal,ESTIMABLE,-0.086517867616871455,-0.20514997688440953,0.03211424165066662,difference,h,-0.0086517867616871455,-0.020514997688440954,0.0032114241650666618,-5.1910720570122875,-12.308998613064572,1.9268544990399972,-0.0086517867616871455,-0.020514997688440954,0.0032114241650666618,0.9976057712978795,-0.08672550831809261,-0.20564233165723425,0.032191315021049015,698,144,698,698,2049.516666666667,2073.9333333333334,8,81,63,18,64,TRUE,TRUE,FALSE,3.0888713808963075e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.2607886275348615,FALSE,FALSE,0.141,0.261
primary,chest,preregistered_exclusions_applied,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,0.39811025108065223,1,0.5280668190806208,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.009869071565801678,0.015632058235926904,-0.020769199580847775,0.04050734271245113,normal,ESTIMABLE,1.0099179314542208,0.9794449947998566,1.041338955926963,ratio,ratio,9.869071565801679e-4,-0.0020769199580847773,0.004050734271245113,,,,1.0009873943096932,0.9979252353477805,1.0040589495842511,1.9199112146187918,0.005140379143918503,-0.010817791688857657,0.02109854997669466,811,145,811,811,6455.533333333334,6457.533333333334,8,82,63,18,64,TRUE,TRUE,FALSE,,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,0.6905489172592734,FALSE,FALSE,0.528,0.691
primary,chest,preregistered_exclusions_applied,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,15.518481111743881,1,8.170254909182112e-5,maximum-likelihood likelihood-ratio test,ESTIMABLE,age,per 10-year increase,age_decade,0.07623023595669268,0.019448392261490137,0.03811208756696453,0.11434838434642083,normal,ESTIMABLE,1.1918736979687534,1.0917220639062566,1.3012129724912214,ratio,ratio,0.007623023595669268,0.003811208756696453,0.011434838434642084,,,,1.0177076137263028,1.0088142512173945,1.0266793770871216,0.37225817788436333,0.20477786784948082,0.10238079330738975,0.3071749423915719,850,145,850,850,19685.933333333334,20400,8,82,63,18,64,TRUE,TRUE,FALSE,2.730757842073217e-6,,response ~ site + (1 | site:Id),response ~ site + age_decade + (1 | site:Id),,,,,4.6298111152031973e-4,TRUE,TRUE,<0.001,<0.001
