"path","only_exact_authorized_dom_removals"
"audit/H01/02_implementation_and_v0_comparison.html",TRUE
"audit/hypotheses/H01/H01_analysis_preparation 2.html",TRUE
"audit/hypotheses/H01/H01_analysis_preparation.html",TRUE
"audit/hypotheses/H02/H02_analysis_preparation.html",TRUE
"audit/hypotheses/H03-H11_gated_workflow.html",TRUE
"audit/hypotheses/H03/H03_analysis_preparation.html",TRUE
"audit/hypotheses/H04/H04_analysis_preparation.html",TRUE
"audit/hypotheses/H05/H05_analysis_preparation.html",TRUE
"audit/hypotheses/H06/H06_analysis_preparation.html",TRUE
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html",TRUE
"audit/hypotheses/H07/H07_analysis_preparation.html",TRUE
"audit/hypotheses/H08/H08_analysis_preparation.html",TRUE
"audit/hypotheses/H09/H09_analysis_preparation.html",TRUE
"audit/hypotheses/H10/H10_analysis_preparation.html",TRUE
"audit/hypotheses/H11/H11_analysis_preparation.html",TRUE
"audit/hypotheses/implementation_result_comparison_contract.html",TRUE
"index.html",TRUE
"notebooks/descriptives 2.html",TRUE
"notebooks/descriptives.html",TRUE
"notebooks/hypotheses/H01 2.html",TRUE
"notebooks/hypotheses/H01 3.html",TRUE
"notebooks/hypotheses/H01.html",TRUE
"notebooks/hypotheses/H02.html",TRUE
"notebooks/hypotheses/H03.html",TRUE
"notebooks/hypotheses/H04.html",TRUE
"notebooks/hypotheses/H05.html",TRUE
"notebooks/hypotheses/H06.html",TRUE
"notebooks/hypotheses/H06_daily.html",TRUE
"notebooks/hypotheses/H07.html",TRUE
"notebooks/hypotheses/H08.html",TRUE
"notebooks/hypotheses/H09.html",TRUE
"notebooks/hypotheses/H10.html",TRUE
"notebooks/hypotheses/H11.html",TRUE
"notebooks/placement_decision.html",TRUE
"notebooks/preparation/01_import_state_alignment.html",TRUE
"notebooks/preparation/02_coverage_sample_flow.html",TRUE
"notebooks/preparation/03_reference_profiles.html",TRUE
"notebooks/preparation/04_metric_derivation.html",TRUE
"notebooks/preparation/05_model_input_acquisition.html",TRUE
"notebooks/preparation/06_model_ready_datasets.html",TRUE
"notebooks/preparation/07_example_days.html",TRUE
"notebooks/preregistration_deviations.html",TRUE
"supplementary_information.html",TRUE
