site,modality,repository,commit,source_url,sha256,bytes,cache_mtime_utc
BAUA,light_glasses,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/light/light_glasses.RData,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,27327915,2026-07-29 22:41:34 UTC
BAUA,light_chest,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/light/light_chest.RData,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,29831102,2026-07-29 22:41:53 UTC
BAUA,sleepdiaries,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/continuous/sleepdiaries.RData,6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a,6635,2026-07-29 22:41:54 UTC
BAUA,wearlog,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/continuous/wearlog.RData,1d737d2349443c11bd661399e4c0ec678dedc17ff826afd9ece03a316497e086,5277,2026-07-29 22:41:54 UTC
FUSPCEU,light_glasses,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/light/light_glasses.RData,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,29731666,2026-07-29 22:42:16 UTC
FUSPCEU,light_chest,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/light/light_chest.RData,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,29210982,2026-07-29 22:42:32 UTC
FUSPCEU,sleepdiaries,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/continuous/sleepdiaries.RData,0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd,7323,2026-07-29 22:42:33 UTC
FUSPCEU,wearlog,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/continuous/wearlog.RData,9d2757d092febb667c045f90d631ffa438f95931ad47525fc49c0391df10c4a0,3634,2026-07-29 22:42:33 UTC
IZTECH,light_glasses,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,https://raw.githubusercontent.com/MeLiDosProject/DidikogluEtAl_Dataset_2025/15b1150ce0c62339d299de24359b4257218560d8/data/imported/light/light_glasses.RData,e78582d1c1de6be748dbca679a5aae333131c0e08373569300a84058e7537ab5,25227820,2026-07-29 22:42:49 UTC
IZTECH,light_chest,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,https://raw.githubusercontent.com/MeLiDosProject/DidikogluEtAl_Dataset_2025/15b1150ce0c62339d299de24359b4257218560d8/data/imported/light/light_chest.RData,9edfa5993674db94ad15f562521c6ff44f558d117aa4662cd2141e6e1ff31800,25485763,2026-07-29 22:43:15 UTC
