commit,path,bytes,git_blob_sha1,sha256
20ba43c27e69fd952ce8023770538f2aa843ef5e,.Rprofile,26,81b960f5c6a8ee40840badd620f8af9743787730,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4
20ba43c27e69fd952ce8023770538f2aa843ef5e,.gitignore,190,326dcbafd9e0eb3d2dd8a4a21fe0388813a362f1,2b9e4772bc8886cb3abc1e431fa6bf934e21183e021408c69ec06e70302d9bfb
20ba43c27e69fd952ce8023770538f2aa843ef5e,CITATION.cff,10303,9148aae43722b57f0fad7abda4d75b851ded606e,04c203e16c9c362e59687dbf0049fcad4c3e2ca69ae51dfce8c0db04e0e34caa
20ba43c27e69fd952ce8023770538f2aa843ef5e,Descriptives.qmd,60998,d7e466d7e3183b1f6adc9fadb67a4af4a75650e7,a2444d0b67125ea30d208bd948e9afcbd5c9bad3b915f3b4714e9a0e334070fd
20ba43c27e69fd952ce8023770538f2aa843ef5e,RQ1.qmd,35212,a9b1b3eace934b9d94e46de07b78bf425ab9bb92,ecf2f7f7af569b4d2b3f8404e39690a1924173a02a97aa4db65233950b6f6643
20ba43c27e69fd952ce8023770538f2aa843ef5e,RQ1_chest.qmd,33810,8a2dbd6188bcce83a8e7ebb22d8fcf60f29fef77,77ee597de0fd326587a336b38d1a820f312156f8cd599aab26a34abd75f8420d
20ba43c27e69fd952ce8023770538f2aa843ef5e,RQ2.qmd,95736,d48906c943fa2b3f18e876f930bcf7084fafa45a,df80d5d8fba3688ddc5ae8db13ddf32449fc1c34ca587eaa2b22e2057bb4dfe7
20ba43c27e69fd952ce8023770538f2aa843ef5e,RQ2_chest.qmd,95331,cc0c858c67aa55b8b1d1e9c90aab1abcbef61e28,572a8a065dab30d1e31c98ad89727dcfddf8c99cc06333aa479284afea015f3d
20ba43c27e69fd952ce8023770538f2aa843ef5e,RQ3.qmd,40272,2b4767d2cb79c586985fe51077eafe7492df4787,dd5b8fedc0205006af2caff74c61da485d9589f37530c91bf45786120b7d5ae2
20ba43c27e69fd952ce8023770538f2aa843ef5e,RQ3_chest.qmd,40278,1983f6d1cd0edf836219c659581bba209b7e68f1,e0b91d924e1e1e3241ad51a61dee402976aead0ac203d44371e2f10fe5f1047b
20ba43c27e69fd952ce8023770538f2aa843ef5e,ZaunerEtAl_bioRxiv_2026.Rproj,205,8e3c2ebc99e2e337f7d69948b93529a437590b27,3a81ccc25a62f1a31c7d3404389935ced50831abea5e848408745ad1a1bf6126
20ba43c27e69fd952ce8023770538f2aa843ef5e,_deviations.qmd,5436,76cf6de8db608e8c1101d73ec5ec75d8c7e0e38b,a2565a71482d761877d9852932ee2118a3f319959a32af94ab3de1cf4d7ab7bb
20ba43c27e69fd952ce8023770538f2aa843ef5e,_explorative.qmd,16355,76fb29a90bc7dd27eca0e276c05d72093bcd8495,096443db86e39b7ecb8ff754c3a9ca2cbc602ec7a174506620cc11ed02aeb427
20ba43c27e69fd952ce8023770538f2aa843ef5e,_quarto.yml,2517,ce5027ea81246e9ace1da4a62d8e276facdfe836,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c
20ba43c27e69fd952ce8023770538f2aa843ef5e,bibliography.bib,46205,b748bef3727257315ee1350bcd6871672729b760,b67cb9d0ee92750188949a3a38deb5e721ca476571ee4335baac6f83fa0542e1
20ba43c27e69fd952ce8023770538f2aa843ef5e,data_preparation.qmd,16488,be3e901850c07c961b888af9517f49fe37e345e2,3cfa713074e2a1631bb24d49a1bb3733a730356c3389dd515e5b52230d0f136b
20ba43c27e69fd952ce8023770538f2aa843ef5e,index.qmd,90649,4ec4d990e036758ac0d55de6708be550388e2a6a,06b97c45143d6cc36dcb90e625e8b5e25c5d864951d780a27796fd4c72cd0ac7
20ba43c27e69fd952ce8023770538f2aa843ef5e,metric_preparation.qmd,6726,c12d1583e8c3c739796d06ee72b0914b519c3f66,eca301dc5ca068e55923f27f2f98bf893a6f65bd1a0c5b978d25f14869a74bb6
20ba43c27e69fd952ce8023770538f2aa843ef5e,nature.csl,6444,3b1e3d7a22070e04252481865c5f3d1ccd324508,15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8
20ba43c27e69fd952ce8023770538f2aa843ef5e,renv.lock,541098,95ea00a5f3d851ea331d94055d40949482b6cda8,6816654b5389db7ac0f34b9f539662786ddd641b94aca882fb9deefb8da30ee9
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/Brown_bracket.R,595,f77992560ceb99f99b77b337c767bc5ad22dd382,55f82d40dec1ff287fc2e0a36bc09ca9e8bcb5f382d679410cf5e975b0ac5de0
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/Fig2.R,2150,f98e622125cc58c4ef2dc80fa20781ef90e86d19,ee68905f1870a43bff4bfb6af881b18205e32c0026809f8c76083c9eb2c0fa56
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/Fig3.R,2875,1bd924c2e4398efff16500b6c1c307c71cfb7194,a33d2124f16678866531f40525462f4fa3637f9ab729c12b6646163edd58c9b0
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/H1_specific.R,3345,e5066857acd60ee5f7f531cb0a415b82b183ffe9,b51ae0a3c2e077761d3aa5e779c8b11eaaae74048ec2314028f10bafe5cd1d3e
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/RQ2_specific.R,3639,5a851db0e992f0d1e0328c3d27a05741f98b66c5,976a367d6d2ff631d551823d208a0fd670522ab369c63d0cf60d41853cda59f6
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/RQ3_specific.R,3910,3738fcfc33c50857767269f565d845a7c22fad4f,1ded47f7f4ed69ff17998cfc192194ce8732a873d375e0f7000a76344bb38e83
20ba43c27e69fd952ce8023770538f2aa843ef5e,scripts/fitting.R,1764,5bbda258e3db4b2ea4d6912d2d7fcc89ca49727f,6cda57af0bea054b789619d110d1ae770829d919f1e1d301278008f688d68999
