relative_path,bytes,sha256,presence_at_baseline
.DS_Store,6148,05585bdf3816a5d6b0f613dd5a3ca9c0461d268381d7f874202e7bca414dc971,present
"Cover Letter.doc",32256,52d8a48a9a09afac59547b77ccfb3b4b39e85daf4699d2407ebdeae4d130240d,present
"Cover Letter.pdf",25151,7b305c4ccf66d0e835dede828bf97c99d2da813e025221354b926d5dd513f7fe,present
Figures/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,present
Figures/Fig1.png,2570847,3933c77a9d9c64f3155f5c460619e586ba7f9a5c3ad20b97d99e7e58409344a1,present
Figures/Fig2.png,2890478,61afec22f1d2650220b59baf8b5fa72f3f140f380891ac7f26de80a45c26e882,present
Figures/Fig3.png,901965,ece9688ead3999bd50d9b84d1a87dbe2dcf29638d75cd59d6a150ca7ce6aac83,present
Supplements/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,present
Supplements/FigureS1.png,619110,9c5f6f076ab08b4f13b8ece4de4bba2e10f881a65120c4de1750800a64d7c91e,present
Supplements/FigureS10.png,396472,056e217c682ac8ad43b9974f1601eb4c05e6c4373f74fb5e9fd33002149832f0,present
Supplements/FigureS2.png,634105,37c14afe7ca8226e4ca29b3645b63d56826a7eb8fc708e873f5485e5de08aae4,present
Supplements/FigureS3.png,883578,6f8305009d10b1390e9cdb4bc9ba174c72d556ae72258e8d6ee5e74522880bab,present
Supplements/FigureS4.png,292223,b335b82cda024b636ea067c45643b24d2acdcc381f1b2c1c80db9e4b69ed82d9,present
Supplements/FigureS5.png,348066,5aa5dc777c4317f65be6c5f84abf4a7e49ef550980fb778499506ff0e5a1a041,present
Supplements/FigureS6.png,2506924,c2b0ec63cf0466a074c40b3597b7ac7e85ddfeaa5890484420eba2f39ac5ca16,present
Supplements/FigureS7.png,996165,e34a1046e61b7fbc4c620896f84976b11e324f190a85177cb6c0ed89e44891c2,present
Supplements/FigureS8.png,470493,7d8d012ec723855366cf5e784705464d4a7152be265465d1d39a9915bb222b8b,present
Supplements/FigureS9.png,325560,6d86775b3d461d857a602181ccb76d33d5fd1eec712765fc1aeacd455922a3f1,present
Supplements/Supplements.pdf,6373055,d8e19a5db61810cad84a9803a2812909c8123756da76d4112ea80a3d20177b6f,present
Supplements/Supplements.zip,11424526,337744f5b9feb181a9a222bbd2ba77113f25965951d009ca476b4405538eaf86,present
Supplements/TableS1.png,2654809,7a605a2bc1e812bfaa206c807414036bc47b53df9556b9ba2ca14e4bd6e1c8cd,present
Supplements/TableS2.png,749431,3eebff001c7031deb6c92dd259373e956524122a3c27d4e2f9222e1ff3cc5321,present
Supplements/TableS3.png,297328,650f2bb26b2bedcd52acada6236fe799ee4e5fc74c2f38d8e68281785427a03f,present
Supplements/TableS4.png,288619,fa71fcce113ea57ce2a5cf0e56bf5528b72b706b779b4299fb964e56d1c05d57,present
Supplements/TableS5.png,294422,e99caa851086db427558b4ce46a00c4a6520a0b679c834e23300f520178437ba,present
Supplements/TableS6.png,128081,3cd4eb4c87a5b045a340e3ead026d62583d15faf39cd9ce805c43c4703133b3e,present
Supplements/TableS7.png,100462,887a0e01825c2ea53691c09526179ac038ac191f29f6f5e5029fa493a812cfc5,present
Supplements/TableS8.png,49043,c0e1c0972b614624b636f9be5b93eb21e805550ffcd2552fe490fbfb543b06ee,present
Tables/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,present
Tables/Table1.png,845865,ae8748a6f6e74ff14d363ff671b6ea2787329cb2c5dbec226a6ac958b07ba055,present
Tables/Table2.png,218098,63c82a90addcad43329442dc76d60cb7797a7a57d3939a318baa2bc46e69a4d9,present
Tables/Table3.png,284774,a596ddbbaf4601049ed41a1524508a0b649b8508796c42968564ffcb1905c2dd,present
ZaunerEtAl2026_NatMed.docx,10063517,9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35,present
