metric_slot,metric_id,manuscript_name,predictor_order,predictor_id,predictor,contrast,effect_scale,estimate_common_sample_predictor_specific,estimate_mutually_adjusted_joint,standard_error_common_sample_predictor_specific,standard_error_mutually_adjusted_joint,lower_95_common_sample_predictor_specific,lower_95_mutually_adjusted_joint,upper_95_common_sample_predictor_specific,upper_95_mutually_adjusted_joint,display_estimate_common_sample_predictor_specific,display_estimate_mutually_adjusted_joint,display_lower_95_common_sample_predictor_specific,display_lower_95_mutually_adjusted_joint,display_upper_95_common_sample_predictor_specific,display_upper_95_mutually_adjusted_joint,effect_status_common_sample_predictor_specific,effect_status_mutually_adjusted_joint,original_participant_days,original_participants,original_estimate,original_standard_error,original_display_estimate,original_display_lower_95,original_display_upper_95,common_participant_days,common_participants,common_sites,exact_source_zeros,sample_change_shift_in_original_se,sample_change_direction_reversal,covariate_shift_in_common_se,covariate_direction_reversal,covariate_stability,sample_stability,conditional_association_raw_p,conditional_association_bh_q,conditional_association_fdr_supported,conditional_association_status,conditional_heterogeneity_raw_p,conditional_heterogeneity_bh_q,conditional_heterogeneity_fdr_supported,conditional_heterogeneity_status
1,daily_geometric_mean_medi,Mean melEDI,1,work_free_day,Work/free day,Free day minus Work day,ratio for fitted metric + 0.1 lx,-0.15907936202859024,-0.12522152377852397,0.020482094559611554,0.020761910943701417,-0.19922352969337265,-0.16591412147840673,-0.11893519436380784,-0.08452892607864121,0.6932991024708026,0.7495118028179915,0.6320864351899628,0.682473634912936,0.7604397416666049,0.8231350103878241,ESTIMABLE,ESTIMABLE,784,141,-0.16120495161410942,0.02092419090931979,0.6899141437342402,0.6277466269309191,0.7582382848501225,715,137,9,0,0.10158527011777639,FALSE,1.65304569566973,FALSE,SUBSTANTIAL_LIMITATION_1_TO_LT_2_SE,STABLE_LT_1_SE,2.3265255577939803e-9,1.7448941683454852e-8,TRUE,ESTIMABLE_EXPLORATORY,3.457469724106193e-6,2.593102293079645e-5,TRUE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,3,activity_status,Daily activity status,Active minus Sedentary,ratio for fitted metric + 0.1 lx,0.06586514630472513,0.06301717581814577,0.026202708690821547,0.024699547314737696,0.01450878097332025,0.014606952646816898,0.11722151163613001,0.11142739898947464,1.1637646102979775,1.1561579659282368,1.0339720065871993,1.0342057609636937,1.3098498407633492,1.2924906170835413,ESTIMABLE,ESTIMABLE,734,137,0.06466226616351534,0.02633770572707801,1.1605457517749111,1.0304841387810584,1.307022972285608,715,137,9,0,0.04567140941107511,FALSE,0.10868992668597544,FALSE,STABLE_LT_1_SE,STABLE_LT_1_SE,0.010853473133624813,0.027133682834062034,TRUE,ESTIMABLE_EXPLORATORY,0.007417858281752625,0.05563393711314469,FALSE,ESTIMABLE_EXPLORATORY
1,daily_geometric_mean_medi,Mean melEDI,11,previous_sleep_duration_centered_h,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,ratio for fitted metric + 0.1 lx,-0.05618400093729858,-0.04484477742923078,0.007610074580515874,0.007638776049531011,-0.07109947303477344,-0.05981650337227871,-0.04126852883982371,-0.02987305148618285,0.8786501733737367,0.9018934286031293,0.8489859966595551,0.8713316642837702,0.9093508375960663,0.9335271400083087,ESTIMABLE,ESTIMABLE,784,141,-0.05169058355741232,0.00779510017445054,0.8877882983712807,0.857099616623793,0.9195757966030276,715,137,9,0,0.576441261731827,FALSE,1.4900279081495063,FALSE,SUBSTANTIAL_LIMITATION_1_TO_LT_2_SE,STABLE_LT_1_SE,4.415461728439139e-9,3.311596296329354e-8,TRUE,ESTIMABLE_EXPLORATORY,0.0871896503611209,0.2615689510833627,FALSE,ESTIMABLE_EXPLORATORY
2,m10_mean_medi,Brightest 10 h mean,1,work_free_day,Work/free day,Free day minus Work day,ratio for fitted metric + 0.1 lx,-0.2861702246717702,-0.25260909161182354,0.034758316686736686,0.03564805278066163,-0.3542952735410117,-0.32247799118090326,-0.21804517580252875,-0.18274019204274383,0.517403992192173,0.5589730999611879,0.44228756213896625,0.47590690799717356,0.6052779097873096,0.6565379094729926,ESTIMABLE,ESTIMABLE,784,141,-0.28306348282699917,0.03570259206340226,0.5211185312387892,0.4435685259503608,0.612226764779211,715,137,9,0,0.0870172630394444,FALSE,0.9655569158431991,FALSE,STABLE_LT_1_SE,STABLE_LT_1_SE,2.7527476185530733e-12,4.12912142782961e-11,TRUE,ESTIMABLE_EXPLORATORY,1.8053715463818938e-7,2.7080573195728406e-6,TRUE,ESTIMABLE_EXPLORATORY
2,m10_mean_medi,Brightest 10 h mean,3,activity_status,Daily activity status,Active minus Sedentary,ratio for fitted metric + 0.1 lx,0.15225238884880019,0.13951342989712143,0.04403114436763299,0.042000808921059896,0.06595293169015591,0.05719335709029545,0.23855184600744445,0.22183350270394742,1.4198824421048073,1.3788385907984426,1.1639998696782896,1.1407575639151366,1.7320157861827932,1.6666081555050458,ESTIMABLE,ESTIMABLE,734,137,0.14649286067739073,0.04412207564017338,1.4011765509525398,1.1481937578537074,1.7098993210076314,715,137,9,0,0.13053620184099804,FALSE,0.28931700810036376,FALSE,STABLE_LT_1_SE,STABLE_LT_1_SE,8.888883380492339e-4,0.0026666650141477016,TRUE,ESTIMABLE_EXPLORATORY,0.0815682031080729,0.3058807616552734,FALSE,ESTIMABLE_EXPLORATORY
2,m10_mean_medi,Brightest 10 h mean,11,previous_sleep_duration_centered_h,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,ratio for fitted metric + 0.1 lx,-0.061441031405582894,-0.039112376398725064,0.012998205644302726,0.01288298157083022,-0.08691704633206147,-0.06436255629104554,-0.035965016479104314,-0.013862196506404592,0.8680784371600987,0.9138767395822573,0.8186211362895643,0.8622584194833307,0.9205237192846785,0.9685851437089303,ESTIMABLE,ESTIMABLE,784,141,-0.05623786714979514,0.01322531500825084,0.8785411997996674,0.8276390847125485,0.932573937120803,715,137,9,0,0.39342459915258515,FALSE,1.717825953664978,FALSE,SUBSTANTIAL_LIMITATION_1_TO_LT_2_SE,STABLE_LT_1_SE,0.002065773191525615,0.006197319574576846,TRUE,ESTIMABLE_EXPLORATORY,0.010031729632991643,0.07523797224743732,FALSE,ESTIMABLE_EXPLORATORY
3,l10_mean_medi,Darkest 10 h mean,1,work_free_day,Work/free day,Free day minus Work day,accepted two-part overall estimand,,,,,,,,,,,,,,,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,,,,,,,,,,,,,,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,FALSE,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,FALSE,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED
3,l10_mean_medi,Darkest 10 h mean,3,activity_status,Daily activity status,Active minus Sedentary,accepted two-part overall estimand,,,,,,,,,,,,,,,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,,,,,,,,,,,,,,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,FALSE,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,FALSE,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED
3,l10_mean_medi,Darkest 10 h mean,11,previous_sleep_duration_centered_h,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,accepted two-part overall estimand,,,,,,,,,,,,,,,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,,,,,,,,,,,,,,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,FALSE,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED,,,FALSE,NAMED_NA_ACCEPTED_L10_ESTIMAND_NOT_REPLACED
4,duration_above_1000,"Time above 1,000 lx melEDI",1,work_free_day,Work/free day,Free day minus Work day,ratio of expected duration,-0.05839862532608329,-0.00785188412193968,0.07376743791685339,0.07387859227791078,-0.20298014687491026,-0.15265126421516373,0.0861828962227437,0.13694749597128436,0.9432738596328348,0.9921788613974813,0.8162944472605127,0.8584290345409173,1.0900056679947803,1.146767937003044,ESTIMABLE,ESTIMABLE,784,141,-0.04336581617403404,0.07000794381543528,0.9575610346739946,0.8347868429002742,1.098391934329359,715,137,9,83,0.2147300482311099,FALSE,0.6852175245820131,FALSE,STABLE_LT_1_SE,STABLE_LT_1_SE,0.9153397720055553,0.9807211842916663,FALSE,ESTIMABLE_EXPLORATORY,0.03441885991136208,0.0737546998100616,FALSE,ESTIMABLE_EXPLORATORY
