metric_slot,metric,abbreviation,predictor_order,predictor,participant_days,participants,sites,source_branch
1,Mean melEDI,Mean,1,Work/free day,784,141,9,accepted_non_l10
1,Mean melEDI,Mean,3,Daily activity,734,137,9,accepted_non_l10
1,Mean melEDI,Mean,11,Previous-night sleep,784,141,9,accepted_non_l10
2,Brightest 10 h mean,M10mean,1,Work/free day,784,141,9,accepted_non_l10
2,Brightest 10 h mean,M10mean,3,Daily activity,734,137,9,accepted_non_l10
2,Brightest 10 h mean,M10mean,11,Previous-night sleep,784,141,9,accepted_non_l10
3,Darkest 10 h mean melEDI,L10mean,1,Work/free day,784,141,9,accepted_l10_metric011
3,Darkest 10 h mean melEDI,L10mean,3,Daily activity,734,137,9,accepted_l10_metric011
3,Darkest 10 h mean melEDI,L10mean,11,Previous-night sleep,784,141,9,accepted_l10_metric011
4,"Time above 1,000 lx melEDI",TAT1000,1,Work/free day,784,141,9,accepted_non_l10
4,"Time above 1,000 lx melEDI",TAT1000,3,Daily activity,734,137,9,accepted_non_l10
4,"Time above 1,000 lx melEDI",TAT1000,11,Previous-night sleep,784,141,9,accepted_non_l10
5,Time above 250 lx melEDI during wake,TAT250,1,Work/free day,729,141,9,accepted_non_l10
5,Time above 250 lx melEDI during wake,TAT250,3,Daily activity,675,136,9,accepted_non_l10
5,Time above 250 lx melEDI during wake,TAT250,11,Previous-night sleep,729,141,9,accepted_non_l10
6,Time below 10 lx melEDI before sleep,TBT10,1,Work/free day,648,139,9,accepted_non_l10
6,Time below 10 lx melEDI before sleep,TBT10,3,Daily activity,602,134,9,accepted_non_l10
6,Time below 10 lx melEDI before sleep,TBT10,11,Previous-night sleep,648,139,9,accepted_non_l10
7,Time below 1 lx melEDI during sleep,TBT1,1,Work/free day,770,141,9,accepted_non_l10
7,Time below 1 lx melEDI during sleep,TBT1,3,Daily activity,713,136,9,accepted_non_l10
7,Time below 1 lx melEDI during sleep,TBT1,11,Previous-night sleep,770,141,9,accepted_non_l10
8,Longest continuous period above 250 lx melEDI,PAT250,1,Work/free day,784,141,9,accepted_non_l10
8,Longest continuous period above 250 lx melEDI,PAT250,3,Daily activity,734,137,9,accepted_non_l10
8,Longest continuous period above 250 lx melEDI,PAT250,11,Previous-night sleep,784,141,9,accepted_non_l10
9,Midpoint of the brightest 10 hours,M10,1,Work/free day,784,141,9,accepted_non_l10
9,Midpoint of the brightest 10 hours,M10,3,Daily activity,734,137,9,accepted_non_l10
9,Midpoint of the brightest 10 hours,M10,11,Previous-night sleep,784,141,9,accepted_non_l10
10,Midpoint of the darkest 10 hours,L10,1,Work/free day,784,141,9,accepted_non_l10
10,Midpoint of the darkest 10 hours,L10,3,Daily activity,734,137,9,accepted_non_l10
10,Midpoint of the darkest 10 hours,L10,11,Previous-night sleep,784,141,9,accepted_non_l10
11,Mean timing of exposure above 250 lx melEDI,MLIT250,1,Work/free day,715,141,9,accepted_non_l10
11,Mean timing of exposure above 250 lx melEDI,MLIT250,3,Daily activity,676,137,9,accepted_non_l10
11,Mean timing of exposure above 250 lx melEDI,MLIT250,11,Previous-night sleep,715,141,9,accepted_non_l10
12,First light timing above 250 lx melEDI,FLIT250,1,Work/free day,701,140,9,accepted_non_l10
12,First light timing above 250 lx melEDI,FLIT250,3,Daily activity,658,136,9,accepted_non_l10
12,First light timing above 250 lx melEDI,FLIT250,11,Previous-night sleep,701,140,9,accepted_non_l10
13,Last light timing above 250 lx melEDI,LLIT250,1,Work/free day,661,141,9,accepted_non_l10
13,Last light timing above 250 lx melEDI,LLIT250,3,Daily activity,626,137,9,accepted_non_l10
13,Last light timing above 250 lx melEDI,LLIT250,11,Previous-night sleep,661,141,9,accepted_non_l10
14,melEDI dose,Dose,1,Work/free day,729,141,9,accepted_non_l10
14,melEDI dose,Dose,3,Daily activity,686,137,9,accepted_non_l10
14,melEDI dose,Dose,11,Previous-night sleep,729,141,9,accepted_non_l10
15,Melanopic daylight efficacy ratio,MDER,1,Work/free day,679,136,9,accepted_frozen_mder
15,Melanopic daylight efficacy ratio,MDER,3,Daily activity,645,133,9,accepted_frozen_mder
15,Melanopic daylight efficacy ratio,MDER,11,Previous-night sleep,679,136,9,accepted_frozen_mder
