metric_slot,metric_id,metric,predictor,contrast,estimate,lower_95,upper_95,effect_scale,participant_days,participants,sites,interval_type
6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Work/free day,Free day minus Work day,0.16553310450831613,0.02648117033429159,0.30458503868234066,absolute difference,648,139,9,model-based pointwise 95% confidence interval
6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Daily activity status,Active minus Sedentary,-0.05196197105474369,-0.22765871327720716,0.12373477116771976,absolute difference,602,134,9,model-based pointwise 95% confidence interval
6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,-0.11105880566550864,-0.16030412928088006,-0.06181348205013724,absolute difference,648,139,9,model-based pointwise 95% confidence interval
9,m10_midpoint,Midpoint of the brightest 10 hours,Work/free day,Free day minus Work day,0.711715302380886,0.4359491304141725,0.9874814743475996,absolute clock-hour difference,784,141,9,participant-cluster HC3 pointwise 95% confidence interval
9,m10_midpoint,Midpoint of the brightest 10 hours,Daily activity status,Active minus Sedentary,-0.28931602780293697,-0.6316427928275472,0.05301073722167332,absolute clock-hour difference,734,137,9,participant-cluster HC3 pointwise 95% confidence interval
9,m10_midpoint,Midpoint of the brightest 10 hours,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.23374193552220665,0.13741900648625716,0.33006486455815615,absolute clock-hour difference,784,141,9,participant-cluster HC3 pointwise 95% confidence interval
10,l10_midpoint,Midpoint of the darkest 10 hours,Work/free day,Free day minus Work day,0.5731152650819543,0.31568970482312814,0.8305408253407804,absolute unwrapped clock-hour difference,784,141,9,participant-cluster HC3 pointwise 95% confidence interval
10,l10_midpoint,Midpoint of the darkest 10 hours,Daily activity status,Active minus Sedentary,-0.31041865550941833,-0.6347019998219967,0.0138646888031601,absolute unwrapped clock-hour difference,734,137,9,participant-cluster HC3 pointwise 95% confidence interval
10,l10_midpoint,Midpoint of the darkest 10 hours,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.17434956327715562,0.08082055924041907,0.26787856731389215,absolute unwrapped clock-hour difference,784,141,9,participant-cluster HC3 pointwise 95% confidence interval
11,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Work/free day,Free day minus Work day,0.2445269232188019,-0.01047320009781679,0.49952704653542057,absolute clock-hour difference,715,141,9,model-based pointwise 95% confidence interval
11,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Daily activity status,Active minus Sedentary,0.010303517530026,-0.2843410605624446,0.30494809562249664,absolute clock-hour difference,676,137,9,model-based pointwise 95% confidence interval
11,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.1271197909944258,0.04396486884133777,0.21027471314751384,absolute clock-hour difference,715,141,9,model-based pointwise 95% confidence interval
12,first_timing_above_250,First light timing above 250 lx melEDI,Work/free day,Free day minus Work day,1.232110241982381,0.8748552106643294,1.5893652733004329,absolute clock-hour difference,701,140,9,participant-cluster HC3 pointwise 95% confidence interval
12,first_timing_above_250,First light timing above 250 lx melEDI,Daily activity status,Active minus Sedentary,-0.2801465196611583,-0.8472080296377416,0.28691499031542506,absolute clock-hour difference,658,136,9,participant-cluster HC3 pointwise 95% confidence interval
12,first_timing_above_250,First light timing above 250 lx melEDI,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,0.4703979146328984,0.3314367149294026,0.6093591143363943,absolute clock-hour difference,701,140,9,participant-cluster HC3 pointwise 95% confidence interval
13,last_timing_above_250,Last light timing above 250 lx melEDI,Work/free day,Free day minus Work day,-0.8192336050122341,-1.2085349175913422,-0.4299322924331258,absolute clock-hour difference,661,141,9,participant-cluster HC3 pointwise 95% confidence interval
13,last_timing_above_250,Last light timing above 250 lx melEDI,Daily activity status,Active minus Sedentary,0.5135970726230595,0.00572541962090122,1.0214687256252175,absolute clock-hour difference,626,137,9,participant-cluster HC3 pointwise 95% confidence interval
13,last_timing_above_250,Last light timing above 250 lx melEDI,Previous-night sleep duration,Per 1 h greater previous-night sleep duration,-0.12834602476879364,-0.27774752390894375,0.02105547437135643,absolute clock-hour difference,661,141,9,participant-cluster HC3 pointwise 95% confidence interval
