"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
3,"tbl-plan-h01-metric-synthesis-candidate","id",1,8627755,8627761,"a::stub","tbl-plan-h01-metric-synthesis-candidate--gt-0001","","",8627755,8627802,7,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",2,8628354,8628363,"definition","tbl-plan-h01-metric-synthesis-candidate--gt-0002","","",8628395,8628442,10,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",3,8628989,8629007,"Descriptive summary","tbl-plan-h01-metric-synthesis-candidate--gt-0003","","",8629068,8629115,19,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",4,8629679,8629698,"Association evidence","tbl-plan-h01-metric-synthesis-candidate--gt-0004","","",8629787,8629834,20,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",5,8630366,8630383,"Modelled variation","tbl-plan-h01-metric-synthesis-candidate--gt-0005","","",8630502,8630549,18,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",6,8631426,8631436,"descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0006","","",8631592,8631639,11,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",7,8632051,8632062,"distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0007","","",8632254,8632301,12,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",8,8632676,8632687,"overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0008","","",8632915,8632962,12,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",9,8633292,8633302,"photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0009","","",8633567,8633614,11,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",10,8633912,8633929,"modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0010","","",8634224,8634271,18,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",11,8635369,8635376,"Duration","tbl-plan-h01-metric-synthesis-candidate--gt-0011","","",8635711,8635758,8,48
3,"tbl-plan-h01-metric-synthesis-candidate","id",12,8635521,8635528,"stub_1_1","tbl-plan-h01-metric-synthesis-candidate--gt-0012","","",8635903,8635950,8,48
