check_id,status,evidence
source_pins,PASS,"Seven locked manuscript, supplement, CSS, table, and project-configuration identities reproduced before rendering"
main_target_render,PASS,"Exactly one successful targeted main-manuscript render under R 4.6.1 and Quarto 1.9.37"
main_environment_recovery,PASS,"Initial sandboxed Sass-cache open failed before output mutation; one identical cache-access retry succeeded"
main_semantic_repair,PASS,"Exactly two mixed-semantic gt tables repaired with 47 ID and 144 headers substitutions"
main_semantic_reverse,PASS,"191-row ledger reverses final candidate exactly to raw rendered SHA-256 ec9eb3e9974d2a94788dade97bcec181201508dad3449464f1d22986107789fe"
main_dom,PASS,"20 native gt tables, 19 figures, 573 unique IDs, 2882 scoped header tokens, 85 internal fragments"
main_existing_validator,PASS,"Brown-integrated Phase 3 validator passed all source, citation, word-count, protected-number, ethics-site, and health-evidence gates"
supplement_target_render,PASS,"Exactly one targeted standalone supplementary-information render under R 4.6.1 and Quarto 1.9.37"
supplement_dom,PASS,"17 native gt tables, 16 figures, 352 unique IDs, 2090 scoped header tokens, no unresolved fragments"
output_delta,PASS,"Output inventory retained 20 files; only the main and standalone supplementary HTML endpoints changed"
symlink_preflight,PASS,"No symlink exists under manuscript/R0_NatHealth/_output"
main_desktop_qa,PASS,"1440x1000: 20 tables, 19 figures, zero broken figure images, zero page overflow, fixed desktop TOC"
main_phone_qa,PASS,"390x844: zero page overflow, 19 complete figure images, 20 contained wide-table scrollers, hidden desktop TOC"
main_table3_qa,PASS,"Six thematic groups in accepted order, 12px table base, contained scroller exercised from 0 to 836px at phone width"
supplement_desktop_qa,PASS,"1440x1000: 17 tables, 16 figures, zero broken images, zero page overflow, fixed desktop TOC"
supplement_phone_qa,PASS,"390x844: zero page overflow, 16 complete figure images, 17 contained wide-table scrollers, hidden desktop TOC"
reader_width_qa,PASS,"720x500 viewport yielded 654px display width for representative main and supplementary figures with complete labels and captions"
browser_console,PASS,"No browser warning or error entries on the served main or supplementary pages"
loopback_teardown,PASS,"QA tab closed, viewport reset, localhost server stopped, and no listener remained on 127.0.0.1:53113"
post_qa_stability,PASS,"Locked sources and final HTML endpoints rehashed after QA with no further transition"
