"endpoint","source_cells","rendered_cells","historical_cells","rendered_cell_order_values_exact","source_ordered_tokens_exact"
"tbl-participant-site-manuscript",187,187,187,TRUE,TRUE
"tbl-plan-brown-main-adherence",32,32,32,TRUE,TRUE
"tbl-plan-h01-metric-synthesis-candidate",137,137,137,TRUE,TRUE
"tbl-plan-descriptive-sample-flow",48,48,48,TRUE,TRUE
"tbl-near-eye-metrics",263,263,263,TRUE,TRUE
"tbl-recommendation-context",116,116,116,TRUE,TRUE
"tbl-plan-brown-cross-window-associations",29,29,29,TRUE,TRUE
"tbl-plan-h02-glasses-variation-shapley-gt-candidate",36,36,36,TRUE,TRUE
"tbl-plan-h02-chest-variation-shapley-gt-candidate",36,36,36,TRUE,TRUE
"tbl-h01-primary-publication-summary",153,153,153,TRUE,TRUE
"tbl-h07-near-results",54,54,54,TRUE,TRUE
"tbl-h06-primary-effects",13,13,13,TRUE,TRUE
"tbl-plan-person-level-synthesis-gt-candidate",58,58,58,TRUE,TRUE
"tbl-h05-near-results-a",56,56,56,TRUE,TRUE
"tbl-h05-near-results-b",41,41,41,TRUE,TRUE
"tbl-h08-near-eye-results",51,61,61,TRUE,TRUE
"tbl-h09-near-eye-results",56,56,56,TRUE,TRUE
"tbl-h10-main-results",73,73,73,TRUE,TRUE
"tbl-h11-global-tests",29,29,29,TRUE,TRUE
