"index","text"
1,"Requested change"
2,"Owner boundary"
3,"Planning status"
4,"Brown Daytime / Pre-sleep / Sleep axes and simpler captions"
5,"Brown Stage 3 display owner"
6,"Integrated in the owner-sealed Supplementary Figures S4 and S5; S4 also uses the accepted final-width typography contract"
7,"Brown Supplementary Figure S5"
8,"Brown owner"
9,"One owner-sealed two-panel asset integrated with uppercase left-side A/B tags at the common final-size convention"
10,"Brown cross-window results"
11,"Brown owner"
12,"Separate Supplementary Table S4 assembled from the accepted four-row source; within-participant claims remain withheld"
13,"Brown participant raincloud"
14,"Brown owner"
15,"Accepted anonymous participant-profile SVG integrated as Supplementary Figure S6; interpretation remains window-specific and non-ranking"
16,"H02 merged variation and Shapley tables"
17,"H02"
18,"Planning assembly completed from accepted rows; no hypothesis edit"
19,"H01 descriptive and model synthesis"
20,"Descriptives plus H01"
21,"Planning assembly completed from the definition-aligned accepted MDER outputs"
22,"H03 Supplementary Figure S8"
23,"H03"
24,"Accepted owner-combined four-panel display integrated with distinct site and light-source palettes"
25,"H04 main Figure 3"
26,"H04"
27,"Accepted revision 3 composite integrated; Other is the sole reader-facing label, and frozen values and internal keys are unchanged"
28,"Descriptive sample flow"
29,"Descriptives"
30,"Supplementary Table S1 restructured from 13 accepted scalar counts; no new count derived"
31,"H06 Supplementary Figures S9 to S12"
32,"H06"
33,"Accepted hourly outputs shown in requested order; the site-specific significance screen has no MDER legend"
34,"Supplementary Figure S7"
35,"Harmonizer display assembly"
36,"One owner-sealed H01/H07 composite integrated with uppercase left-side A/B tags; accepted component images remain unchanged"
37,"Supplementary Figure S15"
38,"Harmonizer display assembly"
39,"One owner-sealed H09 composite integrated with uppercase left-side A/B tags; accepted component images remain unchanged"
40,"H09 observed-by-site composite panel"
41,"H09"
42,"Owner-verified source-ready candidate integrated"
43,"H10 bold panel tags and terminology"
44,"H10"
45,"Owner-sealed uppercase left-side panel-tag display integrated"
