| Requested change | Owner boundary | Planning status |
|---|---|---|
| Brown Daytime / Pre-sleep / Sleep axes and simpler captions | Brown Stage 3 display owner | Integrated in the owner-sealed Supplementary Figures S4 and S5; S4 also uses the accepted final-width typography contract |
| Brown Supplementary Figure S5 | Brown owner | One owner-sealed two-panel asset integrated with uppercase left-side A/B tags at the common final-size convention |
| Brown cross-window results | Brown owner | Separate Supplementary Table S4 assembled from the accepted four-row source; within-participant claims remain withheld |
| Brown participant raincloud | Brown owner | Accepted anonymous participant-profile SVG integrated as Supplementary Figure S6; interpretation remains window-specific and non-ranking |
| H02 merged variation and Shapley tables | H02 | Planning assembly completed from accepted rows; no hypothesis edit |
| H01 descriptive and model synthesis | Descriptives plus H01 | Planning assembly completed from the definition-aligned accepted MDER outputs |
| H03 Supplementary Figure S8 | H03 | Accepted owner-combined four-panel display integrated with distinct site and light-source palettes |
| H04 main Figure 3 | H04 | Accepted revision 3 composite integrated; Other is the sole reader-facing label, and frozen values and internal keys are unchanged |
| Descriptive sample flow | Descriptives | Supplementary Table S1 restructured from 13 accepted scalar counts; no new count derived |
| H06 Supplementary Figures S9 to S12 | H06 | Accepted hourly outputs shown in requested order; the site-specific significance screen has no MDER legend |
| Supplementary Figure S7 | Harmonizer display assembly | One owner-sealed H01/H07 composite integrated with uppercase left-side A/B tags; accepted component images remain unchanged |
| Supplementary Figure S15 | Harmonizer display assembly | One owner-sealed H09 composite integrated with uppercase left-side A/B tags; accepted component images remain unchanged |
| H09 observed-by-site composite panel | H09 | Owner-verified source-ready candidate integrated |
| H10 bold panel tags and terminology | H10 | Owner-sealed uppercase left-side panel-tag display integrated |
