"anchor","qmd_occurrences","present_on_central_page"
"dev-001",1,TRUE
"dev-003",1,TRUE
"dev-004",1,TRUE
"dev-005",1,TRUE
"dev-006",1,TRUE
"dev-007",1,TRUE
"dev-008",1,TRUE
"dev-009",3,TRUE
"dev-017",1,TRUE
"dev-018",1,TRUE
"dev-049",1,TRUE
"dev-050",1,TRUE
"dev-052",1,TRUE
"dev-053",1,TRUE
"dev-054",2,TRUE
"dev-055",1,TRUE
"dev-057",1,TRUE
"dev-058",1,TRUE
"imp-001",1,TRUE
"imp-002",1,TRUE
"imp-003",2,TRUE
"imp-004",1,TRUE
"imp-010",1,TRUE
"imp-012",1,TRUE
"imp-014",1,TRUE
"imp-015",1,TRUE
"imp-016",1,TRUE
"imp-017",1,TRUE
"imp-018",1,TRUE
"imp-019",1,TRUE
"imp-020",1,TRUE
"imp-023",1,TRUE
"imp-024",1,TRUE
"rep-001",1,TRUE
"rep-002",1,TRUE
"rep-003",1,TRUE
