"check","status","evidence"
"bounded display refresh","PASS","source-derived old-label PNG/SVG exactly reproduced sealed inputs"
"focused display test","PASS","136 frozen cells and title-only PNG/SVG change"
"plotting cells","PASS","136 unique metric-placement-question cells"
"PNG title-only difference","PASS","5,697 pixels inside the authorized legend-title box"
"SVG title-only difference","PASS","one title-node line; all 371 other lines identical"
"accepted QMD link occurrences","KNOWN_STOP","40"
"accepted QMD unique linked anchors","KNOWN_STOP","36"
"linked anchors present on central page","PASS","all 36"
"unchanged stale REPORT-016 assertion","KNOWN_STOP","line 198 requires no preregistration_deviations.qmd links"
"current manifests","HELD_UNRESEALED","08da3090e895f8d99f3a4a32eddb2a3c9d8582076ed2fe69d1b5795a8415a54f 51288b656723bc7d29027b3bd5877fa7f18837135d6f7fe1d6c0b96bbe312006"
"stopped HTML","SEALED","6e0bb1b3bc3b09ee92fd4650655521c6b8fdc01c125ff10c3df2fe733d3c62aa"
"Quarto render","NOT_RUN","none authorized or executed"
"scientific computation","NOT_RUN","no fit, prediction, bootstrap, inference, or scientific recomputation"
