check,status,evidence
R version,PASS,4.6.1
frozen current source,PASS,cf869aa233aca9230a9d295f7efae69fc51c1258a80daf90258d08122f5effc0
historical source pinned but not read as plot data,PASS,2054c097bb6b901ebc12491c78082fe5a56ebca2ccc5e2c61afe7e21244c3772
sealed comparison,PASS,b6d4caa0be10581d6b9580e3eaf893c90e15147366ecf94ab737cef547a23592
unique plotted cells,PASS,136
support states and symbols,PASS,Supported/check and Not supported/dash only
old-title reconstruction,PASS,Exact PNG pixels and exact SVG bytes
builder reverse substitution,PASS,eca3e1e855314838c51172d3dd24922ac8e5db096b6c5e3b505d74853885b28c
PNG dimensions,PASS,3360 x 2368
PNG resolution,PASS,320 dpi
PNG difference region,PASS,1564:1916:2276:2312
SVG normalized structure,PASS,All non-title lines byte-identical
new legend title,PASS,FDR-adjusted result
model or inference computation,PASS,None
