metric_order,metric_id,manuscript_name,placement_label,question_order,question_id,question_label,support_status,support_symbol
1,interdaily_stability,Interdaily stability,Chest,1,site,Overall site,Not supported,–
1,interdaily_stability,Interdaily stability,Chest,2,photoperiod,Photoperiod,Not supported,–
1,interdaily_stability,Interdaily stability,Chest,3,latitude,Latitude,Not supported,–
1,interdaily_stability,Interdaily stability,Chest,4,adequacy,Site versus linear latitude,Not supported,–
2,intradaily_variability,Intradaily variability,Chest,1,site,Overall site,Not supported,–
2,intradaily_variability,Intradaily variability,Chest,2,photoperiod,Photoperiod,Not supported,–
2,intradaily_variability,Intradaily variability,Chest,3,latitude,Latitude,Not supported,–
2,intradaily_variability,Intradaily variability,Chest,4,adequacy,Site versus linear latitude,Not supported,–
3,daily_geometric_mean_medi,Mean melEDI,Chest,1,site,Overall site,Supported,✓
3,daily_geometric_mean_medi,Mean melEDI,Chest,2,photoperiod,Photoperiod,Supported,✓
3,daily_geometric_mean_medi,Mean melEDI,Chest,3,latitude,Latitude,Not supported,–
3,daily_geometric_mean_medi,Mean melEDI,Chest,4,adequacy,Site versus linear latitude,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Chest,1,site,Overall site,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Chest,2,photoperiod,Photoperiod,Supported,✓
4,m10_mean_medi,Brightest 10 h mean,Chest,3,latitude,Latitude,Not supported,–
4,m10_mean_medi,Brightest 10 h mean,Chest,4,adequacy,Site versus linear latitude,Supported,✓
5,l10_mean_medi,Darkest 10 h mean,Chest,1,site,Overall site,Supported,✓
5,l10_mean_medi,Darkest 10 h mean,Chest,2,photoperiod,Photoperiod,Supported,✓
5,l10_mean_medi,Darkest 10 h mean,Chest,3,latitude,Latitude,Supported,✓
5,l10_mean_medi,Darkest 10 h mean,Chest,4,adequacy,Site versus linear latitude,Supported,✓
6,duration_above_1000,"Time above 1,000 lx melEDI",Chest,1,site,Overall site,Supported,✓
6,duration_above_1000,"Time above 1,000 lx melEDI",Chest,2,photoperiod,Photoperiod,Supported,✓
6,duration_above_1000,"Time above 1,000 lx melEDI",Chest,3,latitude,Latitude,Supported,✓
6,duration_above_1000,"Time above 1,000 lx melEDI",Chest,4,adequacy,Site versus linear latitude,Supported,✓
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Chest,1,site,Overall site,Supported,✓
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Chest,2,photoperiod,Photoperiod,Supported,✓
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Chest,3,latitude,Latitude,Not supported,–
7,duration_above_250_wake,Time above 250 lx melEDI during wake,Chest,4,adequacy,Site versus linear latitude,Supported,✓
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Chest,1,site,Overall site,Not supported,–
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Chest,2,photoperiod,Photoperiod,Supported,✓
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Chest,3,latitude,Latitude,Not supported,–
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Chest,4,adequacy,Site versus linear latitude,Not supported,–
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Chest,1,site,Overall site,Supported,✓
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Chest,2,photoperiod,Photoperiod,Not supported,–
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Chest,3,latitude,Latitude,Supported,✓
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Chest,4,adequacy,Site versus linear latitude,Supported,✓
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Chest,1,site,Overall site,Not supported,–
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Chest,2,photoperiod,Photoperiod,Supported,✓
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Chest,3,latitude,Latitude,Not supported,–
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Chest,4,adequacy,Site versus linear latitude,Not supported,–
11,m10_midpoint,Midpoint of the brightest 10 hours,Chest,1,site,Overall site,Supported,✓
11,m10_midpoint,Midpoint of the brightest 10 hours,Chest,2,photoperiod,Photoperiod,Not supported,–
11,m10_midpoint,Midpoint of the brightest 10 hours,Chest,3,latitude,Latitude,Supported,✓
11,m10_midpoint,Midpoint of the brightest 10 hours,Chest,4,adequacy,Site versus linear latitude,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Chest,1,site,Overall site,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Chest,2,photoperiod,Photoperiod,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Chest,3,latitude,Latitude,Supported,✓
12,l10_midpoint,Midpoint of the darkest 10 hours,Chest,4,adequacy,Site versus linear latitude,Supported,✓
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Chest,1,site,Overall site,Supported,✓
