Placement,Category,"Expected melEDI, lx (95% CI)",Ratio to indoor electric (95% CI)
Near-eye,Indoor electric,85.1 (71.6–101.1),1.000 (reference)
Near-eye,Outdoor electric,9.4 (6.9–12.8),0.110 (0.078–0.156)
Near-eye,Indoor daylight,198.8 (169.2–233.4),2.335 (1.877–2.905)
Near-eye,Outdoor daylight,"959.6 (786.8–1,170.2)",11.274 (8.709–14.595)
Near-eye,Emissive display,23.8 (17.4–32.5),0.280 (0.197–0.398)
Near-eye,Sleep darkness,2.2 (1.5–3.3),0.026 (0.018–0.039)
Near-eye,External light during sleep,11.2 (8.1–15.5),0.131 (0.091–0.189)
Chest,Indoor electric,86.2 (72.1–103.0),1.000 (reference)
Chest,Outdoor electric,49.4 (35.8–68.2),0.573 (0.404–0.813)
Chest,Indoor daylight,201.5 (170.4–238.3),2.338 (1.876–2.912)
Chest,Outdoor daylight,"1,105.7 (914.5–1,336.8)",12.827 (9.925–16.576)
Chest,Emissive display,27.3 (18.9–39.4),0.316 (0.210–0.477)
Chest,Sleep darkness,2.5 (1.7–3.8),0.029 (0.018–0.046)
Chest,External light during sleep,Site-average estimate not estimable,Site-average estimate not estimable
