Placement,Category,Participant-hours,Participants,Participant-days,Sites
Near-eye,Indoor electric,4629,138,695,9
Near-eye,Outdoor electric,203,54,118,9
Near-eye,Indoor daylight,4804,138,692,9
Near-eye,Outdoor daylight,1557,135,512,9
Near-eye,Emissive display,664,88,235,9
Near-eye,Sleep darkness,5225,130,712,9
Near-eye,External light during sleep,853,66,233,9
Chest,Indoor electric,5468,149,765,8
Chest,Outdoor electric,219,59,129,8
Chest,Indoor daylight,4979,148,741,8
Chest,Outdoor daylight,1686,145,554,8
Chest,Emissive display,861,97,275,8
Chest,Sleep darkness,5540,142,767,8
Chest,External light during sleep,759,63,225,7
