Placement,Scenario,Hours,Participants,Participant-days,Sites,Raw omnibus p,Stable,Support-non-estimable,Direction shifts,Magnitude shifts
Near-eye,Boundary hours excluded,15539,140,801,9,**<0.001**,6,1,0,0
Near-eye,Gap-timing-unaware dataset,17616,140,785,9,**<0.001**,7,0,0,0
Near-eye,"Same-participant, same-hour sample",14103,111,631,8,**<0.001**,6,1,0,0
Near-eye,Unsupported cells excluded,17818,140,801,9,**<0.001**,6,1,0,0
Near-eye,Within/between participant,17935,140,801,9,**<0.001**,5,0,1,1
Near-eye,Working power 1.30,17935,140,801,9,**<0.001**,7,0,0,0
Near-eye,Working power 1.80,17935,140,801,9,**<0.001**,6,0,1,0
Chest,Boundary hours excluded,16942,151,880,8,**<0.001**,6,1,0,0
Chest,Gap-timing-unaware dataset,19220,151,865,8,**<0.001**,7,0,0,0
Chest,"Same-participant, same-hour sample",14103,111,631,8,**<0.001**,6,1,0,0
Chest,Unsupported cells excluded,19416,151,880,8,**<0.001**,6,1,0,0
Chest,Within/between participant,19512,151,880,8,**<0.001**,6,0,0,1
Chest,Working power 1.30,19512,151,880,8,**<0.001**,7,0,0,0
Chest,Working power 1.80,19512,151,880,8,**<0.001**,7,0,0,0
