Component,Quantity,Estimate,Interpretation
Model-based R²,Marginal R²,0.796,"Site, light source, and their interaction"
Model-based R²,Conditional R²,0.876,Fixed effects plus the participant intercept
Model-based R²,Participant increment,0.080,Conditional minus marginal R²
Marginal R² Shapley allocation,Study site,0.056,7.1% of full marginal R²
Marginal R² Shapley allocation,Light source,0.710,89.3% of full marginal R²
Marginal R² Shapley allocation,Study site × light source,0.029,3.7% of full marginal R²
Participant-level variation,Adjusted participant ICC,0.394,Participant share after excluding fixed-effect variance
Participant-level variation,Unadjusted participant ICC,0.080,Participant share of total model-based variance
Participant-level variation,Participant SD on log scale,0.694,Spread of stable participant intercepts
Participant-level variation,One-SD multiplicative factor,2.00×,Expected-mean factor for a participant one SD above average
Participant-level variation,Participant/fixed variance ratio,0.101,Participant-intercept variance divided by fixed-predictor variance
