Placement,Category,Ratio per +10° (95% CI),Raw p,FDR-adjusted p,Sites,Leave-one-site-out sign,Leave-one-site-out ratio range
Near-eye,Indoor electric,1.197 (1.081–1.326),0.004,**0.013**,9,9/9,1.17–1.25
Near-eye,Outdoor electric,1.103 (0.733–1.660),0.594,0.594,9,8/9,0.79–2.50
Near-eye,Indoor daylight,1.253 (1.131–1.388),<0.001,**0.007**,9,9/9,1.23–1.32
Near-eye,Outdoor daylight,1.354 (1.105–1.661),0.009,**0.021**,9,9/9,1.26–1.75
Near-eye,Emissive display,1.171 (0.827–1.660),0.326,0.380,9,8/9,0.96–1.34
Near-eye,Sleep darkness,1.428 (1.076–1.895),0.020,**0.035**,9,9/9,1.12–1.50
Near-eye,External light during sleep,1.461 (0.791–2.701),0.192,0.269,9,9/9,1.22–2.10
Chest,Indoor electric,1.142 (1.061–1.229),0.004,**0.025**,8,8/8,1.11–1.16
Chest,Outdoor electric,1.278 (0.795–2.055),0.262,0.367,8,8/8,1.15–1.72
Chest,Indoor daylight,1.047 (0.887–1.237),0.532,0.532,8,7/8,1.00–1.39
Chest,Outdoor daylight,1.265 (0.988–1.620),0.059,0.138,8,8/8,1.14–1.45
Chest,Emissive display,1.185 (0.904–1.554),0.182,0.318,8,8/8,1.08–1.34
Chest,Sleep darkness,0.818 (0.499–1.340),0.368,0.429,8,7/8,0.70–1.30
Chest,External light during sleep,1.739 (1.082–2.795),0.028,0.099,7,7/8,1.00–2.19
