"table_index","endpoint","rows","cells","header_cells","header_tokens","header_tokens_valid","header_ids_unique","caption_count","body_nonempty","body_sha256"
1,"tbl-main-samples",2,10,5,10,TRUE,TRUE,1,TRUE,"df10d8f39d665d66bb8447eb4ce85ea424b07bd66a36ea06b6d3f6a1cf89a55a"
2,"tbl-main-adherence-levels",12,48,4,48,TRUE,TRUE,1,TRUE,"2f6f8cb300a944234f1d2711d4d519c9fd5922d9c273a32ac0bedf2a7f4c50d6"
3,"tbl-main-primary-results",6,31,5,30,TRUE,TRUE,1,TRUE,"6a77171bfc638f96ce4b08428a317b5a0157d94951552072999385b69ac492d7"
4,"tbl-main-site-interactions",8,48,6,48,TRUE,TRUE,1,TRUE,"e8acc23c8bb0123336219919e1c7298a0927e7b9c1ae1f3c3425b919ebe52bae"
5,"tbl-main-compact-adherence",11,78,9,77,TRUE,TRUE,1,TRUE,"cadc63635e7485b83d6a079e24443c549fe40242b19db4e655f8fbed4539b7a5"
6,"tbl-main-endpoint-calibration",12,97,8,96,TRUE,TRUE,1,TRUE,"800182c3201eeea4c1efc4a71faba3797528791ac4c05cc585cb2a38e81b6cde"
7,"tbl-main-coverage-gate",3,21,7,21,TRUE,TRUE,1,TRUE,"7803979aa94886873f2c7752b09b0074881a5bdd659ee65e43438f01bf3067f0"
8,"tbl-main-random-effects",2,7,3,6,TRUE,TRUE,1,TRUE,"d5f795c114d3dcf6c0d53c5c9890aae9c0515c8bbe67742c93b018001727223e"
9,"tbl-main-r2-partition",8,49,6,48,TRUE,TRUE,1,TRUE,"f78bb1b663618c3de63a6926b688e07b28f51b3983b83a69e0bfff0b2d3b6839"
10,"tbl-main-shapley-global",6,31,5,30,TRUE,TRUE,1,TRUE,"31cbc7d846963eca7368ccbeff97cffe25330f7dd409efaeb97252a031730093"
11,"tbl-main-shapley-within",12,61,5,60,TRUE,TRUE,1,TRUE,"ed059cee521cfc1ee6d718c281ae29955865d31f9d05a72f7ceecfaba989123f"
12,"tbl-main-placement",2,13,6,12,TRUE,TRUE,1,TRUE,"ead13dd8728af14e52628208574440041ffc0459e9da31f4f9140b10c8e60f76"
13,"tbl-main-grouping-sensitivity",6,43,7,42,TRUE,TRUE,1,TRUE,"0df6dff980d02896708403474406ee77d70e203a500cb6b99e7872d1e260d049"
14,"tbl-main-all-sensitivities",86,603,7,602,TRUE,TRUE,1,TRUE,"250089e4d95984a8479e964f69b06a99cc3826bdb33be7f6efff32eea2ad4890"
15,"tbl-main-weighting",3,12,4,12,TRUE,TRUE,1,TRUE,"731e375269fb99deed230d4f56ec61ce95f793b473cf2c90c27fa775b2163ba3"
16,"tbl-main-route-dispositions",35,176,5,175,TRUE,TRUE,1,TRUE,"8ba12a4583190a5b275c3fd93eef7ddc37d55022a257cc036391d2fd0adc2b19"
17,"tbl-main-diagnostic-dispositions",20,80,4,80,TRUE,TRUE,1,TRUE,"36e27d6f83ab9c04397f4370d71098b72349373d05c1aaa1661347564b7e4c7b"
18,"tbl-selected-samples",2,13,6,12,TRUE,TRUE,1,TRUE,"e3f215e6dbac7831f46a3b515fbcb28f8d7138b29e41e9c507e4e0efca5aff7b"
19,"tbl-participant-state-summary",3,19,6,18,TRUE,TRUE,1,TRUE,"970ecf1aae745375dde84466a47cf28d3a1d4d0a03f098e46b60c1173c34776a"
20,"tbl-cross-state-effects",6,17,6,32,TRUE,TRUE,1,TRUE,"db5a119be8acc93ba39b5ff475940bc7b345b7490a271c81840564a8f0fc2c87"
21,"tbl-wake-cycle-groups",12,85,7,84,TRUE,TRUE,1,TRUE,"4ae817db3379eefa9e5bf17fccf4e2e371309624740048bacd4beb1efc59c75d"
22,"tbl-coverage-gate",6,20,7,40,TRUE,TRUE,1,TRUE,"ddb189ad0b7ae6666ec05f311badb976e12e3275da8cbd6593be8d8acfb901bb"
