"id","line","type","dom_count"
"tbl-main-samples",117,"table",1
"fig-main-adherence-levels",128,"figure",1
"tbl-main-adherence-levels",134,"table",1
"tbl-main-primary-results",143,"table",1
"tbl-main-site-interactions",155,"table",1
"fig-main-site-workday-adherence",164,"figure",1
"fig-main-site-free-work-contrasts",174,"figure",1
"tbl-main-compact-adherence",182,"table",1
"tbl-main-endpoint-calibration",194,"table",1
"fig-main-coverage-sensitivity",201,"figure",1
"tbl-main-coverage-gate",207,"table",1
"tbl-main-random-effects",221,"table",1
"tbl-main-r2-partition",231,"table",1
"tbl-main-shapley-global",241,"table",1
"tbl-main-shapley-within",250,"table",1
"tbl-main-placement",264,"table",1
"tbl-main-grouping-sensitivity",276,"table",1
"tbl-main-all-sensitivities",292,"table",1
"tbl-main-weighting",301,"table",1
"tbl-main-route-dispositions",310,"table",1
"tbl-main-diagnostic-dispositions",319,"table",1
"tbl-selected-samples",360,"table",1
"fig-participant-state-raincloud",399,"figure",1
"tbl-participant-state-summary",411,"table",1
"tbl-cross-state-effects",450,"table",1
"tbl-wake-cycle-groups",536,"table",1
"tbl-coverage-gate",597,"table",1
