check,observed,status
R version,4.6.1,PASS
manifest SHA-256,795e163e1b3cea96e635097c0095f92765794b71f9eabb715be23c52874cbc8b,PASS
manifest entries,108,PASS
manifest uniqueness,108 unique paths,PASS
manifest circularity,manifest excludes itself and this verification record,PASS
manifest file hashes and byte counts,108 of 108 exact,PASS
consolidated defects,2,PASS
native gt tables,14,PASS
figures,5,PASS
dynamic links,7,PASS
post-QA build identities,846 of 846 exact,PASS
post-QA protected identities,"3,260 of 3,260 exact",PASS
source QMD SHA-256,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,PASS
fresh HTML SHA-256,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,PASS
package verifier output,"ORDER48_PACKAGE=PASS manifest_entries=108 defects=2 tables=14 figures=5 links=7 build_preserved=846 protected_preserved=3260",PASS
order disposition,FAIL_CLOSED,PASS
