"relative_path","role_pre","sha256_pre","bytes_pre","modified_utc_pre","is_symlink_pre","symlink_target_pre","role_post","sha256_post","bytes_post","modified_utc_post","is_symlink_post","symlink_target_post","delta","classification","status"
"_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","held_companion_target","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259",4613650,"2026-08-13T08:08:11.743000Z UTC",FALSE,,"held_companion_target","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259",4613650,"2026-08-13T08:08:11.743000Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html","hourly_h06_endpoint","f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378",851041,"2026-08-21T02:18:13.995657Z UTC",FALSE,,"hourly_h06_endpoint","f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378",851041,"2026-08-21T02:18:13.995657Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"_build/nathealth/notebooks/hypotheses/H06_daily.html","expected_render_target","5a20c0680011be17111f72bb6b15aed6a4f4700c8866a13ea6dcf49a589fcce3",3617976,"2026-08-13T07:23:11.627000Z UTC",FALSE,,"expected_render_target","15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76",11691631,"2026-08-21T04:10:36.220121Z UTC",FALSE,,"CHANGED_CONTENT","EXPECTED_RESULT_HTML_TRANSITION","PASS"
"_build/nathealth/notebooks/hypotheses/H06.html","hourly_h06_endpoint","8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa",4874263,"2026-08-21T00:34:02.521438Z UTC",FALSE,,"hourly_h06_endpoint","8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa",4874263,"2026-08-21T00:34:02.521438Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"_quarto-nathealth.yml","shared_protected","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"2026-08-14T14:21:45.336235Z UTC",FALSE,,"shared_protected","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"2026-08-14T14:21:45.336235Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"_quarto.yml","shared_protected","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"2026-07-03T18:42:18.747725Z UTC",FALSE,,"shared_protected","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"2026-07-03T18:42:18.747725Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"artifacts/06_model_data/H06_daily/H06_daily_30_minute_temporal_formula_registry.csv","h06_daily_protected","678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4",1678,"2026-08-11T07:23:29.412128Z UTC",FALSE,,"h06_daily_protected","678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4",1678,"2026-08-11T07:23:29.412128Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_bundle.rds","h06_daily_protected","ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274",1480158,"2026-08-12T17:57:20.239216Z UTC",FALSE,,"h06_daily_protected","ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274",1480158,"2026-08-12T17:57:20.239216Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_inventory.csv","h06_daily_protected","336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4",48389,"2026-08-12T17:57:19.952468Z UTC",FALSE,,"h06_daily_protected","336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4",48389,"2026-08-12T17:57:19.952468Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
"artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_influence_task_inventory.csv","h06_daily_protected","c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9",3547002,"2026-08-12T18:01:31.475391Z UTC",FALSE,,"h06_daily_protected","c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9",3547002,"2026-08-12T18:01:31.475391Z UTC",FALSE,,"UNCHANGED","BYTE_IDENTICAL","PASS"
