predictor_id,scenario_label,source_rows,expected_rows,one_row_per_metric,status
activity_status,"Complementary chest, all available",15,15,TRUE,PASS
activity_status,Paired/common chest,15,15,TRUE,PASS
activity_status,Paired/common near eye,15,15,TRUE,PASS
activity_status,"Primary near eye, all available",15,15,TRUE,PASS
previous_sleep_duration_centered_h,"Complementary chest, all available",15,15,TRUE,PASS
previous_sleep_duration_centered_h,Paired/common chest,15,15,TRUE,PASS
previous_sleep_duration_centered_h,Paired/common near eye,15,15,TRUE,PASS
previous_sleep_duration_centered_h,"Primary near eye, all available",15,15,TRUE,PASS
work_free_day,"Complementary chest, all available",15,15,TRUE,PASS
work_free_day,Paired/common chest,15,15,TRUE,PASS
work_free_day,Paired/common near eye,15,15,TRUE,PASS
work_free_day,"Primary near eye, all available",15,15,TRUE,PASS
