relative_path,before_sha256,before_bytes,after_sha256,after_bytes,present_before,present_after,hash_identical,bytes_identical,byte_identical,status
_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,f9a4f51db555454a2e7cd0ea70895978b71016e6bd2c7310ae5033ad3c7ed378,851041,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
_build/nathealth/notebooks/hypotheses/H06.html,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,4874263,8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa,4874263,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
_build/nathealth/notebooks/hypotheses/H06_daily.html,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,11691631,15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76,11691631,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
_quarto.yml,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
artifacts/06_model_data/H06_daily/H06_daily_30_minute_temporal_formula_registry.csv,678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4,1678,678503f5d2eea86be79e4715a63ca0437e5000bd04f5e0fb57f8db4e5afecfa4,1678,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_bundle.rds,ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274,1480158,ee0aae871ab501f4afc2c14a3a0e148e8fde67ef981fe39daac10b6b44170274,1480158,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_frame_inventory.csv,336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4,48389,336e216277298c12a674cd2a26d51a40f4ea40401dba7e1eab48d814c4179da4,48389,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
artifacts/06_model_data/H06_daily/H06_daily_gap_clock_repair_influence_task_inventory.csv,c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9,3547002,c08e7ee408f01af3d16f1cc60ae526b0cd1661e4655f86d29a7bf6ca6797fee9,3547002,TRUE,TRUE,TRUE,TRUE,TRUE,PASS
