"domain","status","details"
"semantic disposition and exact reversal","PASS","REPAIRED; 818 substitutions; exact reverse and forward reapplication"
"visible and structural invariance across semantic hook","PASS","visible text, values, element order, captions, notes, links, and geometry unchanged"
"native gt endpoints","PASS","14 native gt tables in accepted order"
"figure endpoints and paired source data","PASS","five embedded PNG endpoints with durable figures and paired source CSVs"
"document IDs and table header references","PASS","231 unique document IDs; 1,293 tokens from 705 headers attributes resolve once to th"
"reader links and dynamic QMD links","PASS","44 main links pass; seven dynamic links pass"
"reader hierarchy, callout, navigation, and sites","PASS","Answer in brief, hierarchy, reciprocal companion link, active navigation, nine sites pass"
"embedded execution defects","PASS","zero embedded error, warning, stderr, unresolved cross-reference, or raw trace"
"build delta classification","PASS","25 source-identical resource copies, target HTML, search, sitemap, and one mtime-only CSS"
"protected identity reconciliation","PASS","3,259 byte-identical protected paths plus the expected result HTML transition"
"historical REPORT-014 reconciliation","PASS","exactly three previously accepted REPORT-014 classifications"
"phase-4 historical-to-fresh transition","PASS","shared corpus manifest unchanged; H06_daily HTML classified pending shared integration"
