"order","link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","status"
1,"Hypothesis analyses","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,"PASS"
2,"H06 complementary daily results","../../notebooks/hypotheses/H06_daily.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,"PASS"
3,"hourly H06 analysis","../../notebooks/hypotheses/H06.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"",TRUE,FALSE,"PASS"
4,"analysis-preparation and provenance companion","../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html",TRUE,"",TRUE,FALSE,"PASS"
5,"","#cb1-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb1-1",TRUE,FALSE,"PASS"
6,"","#cb1-2","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"cb1-2",TRUE,FALSE,"PASS"
7,"Source data for the multiplicative figure","../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv",TRUE,"",TRUE,FALSE,"PASS"
8,"Source data for the absolute-effect figure","../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv",TRUE,"",TRUE,FALSE,"PASS"
9,"Source data for the FDR overview","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv",TRUE,"",TRUE,FALSE,"PASS"
10,"Source data for the site-deviation figure","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv",TRUE,"",TRUE,FALSE,"PASS"
