"endpoint_type","order","observed","expected","exact_match"
"table",1,"tbl-h06-daily-analysis-roles","tbl-h06-daily-analysis-roles",TRUE
"table",2,"tbl-h06-daily-fdr-families","tbl-h06-daily-fdr-families",TRUE
"table",3,"tbl-h06-daily-primary-matrix","tbl-h06-daily-primary-matrix",TRUE
"table",4,"tbl-h06-daily-primary-site-interactions","tbl-h06-daily-primary-site-interactions",TRUE
"table",5,"tbl-h06-daily-placement-work-free","tbl-h06-daily-placement-work-free",TRUE
"table",6,"tbl-h06-daily-placement-activity","tbl-h06-daily-placement-activity",TRUE
"table",7,"tbl-h06-daily-placement-sleep","tbl-h06-daily-placement-sleep",TRUE
"table",8,"tbl-h06-daily-gap-decision-changes","tbl-h06-daily-gap-decision-changes",TRUE
"table",9,"tbl-h06-daily-joint-family-summary","tbl-h06-daily-joint-family-summary",TRUE
"table",10,"tbl-h06-daily-joint-stability-limitations","tbl-h06-daily-joint-stability-limitations",TRUE
"table",11,"tbl-h06-daily-joint-site-interactions","tbl-h06-daily-joint-site-interactions",TRUE
"table",12,"tbl-h06-daily-temporal-gamm","tbl-h06-daily-temporal-gamm",TRUE
"table",13,"tbl-h06-daily-main-comparison","tbl-h06-daily-main-comparison",TRUE
"table",14,"tbl-h06-daily-diagnostic-summary","tbl-h06-daily-diagnostic-summary",TRUE
"figure",1,"fig-h06-daily-primary-ratio","fig-h06-daily-primary-ratio",TRUE
"figure",2,"fig-h06-daily-primary-absolute","fig-h06-daily-primary-absolute",TRUE
"figure",3,"fig-h06-daily-fdr-overview","fig-h06-daily-fdr-overview",TRUE
"figure",4,"fig-h06-daily-primary-site-deviations","fig-h06-daily-primary-site-deviations",TRUE
"figure",5,"fig-h06-daily-temporal-gamm","fig-h06-daily-temporal-gamm",TRUE
