"order","endpoint","native_gt_count","caption_count","source_note_count","caption","expected_caption","caption_matches","visible_text_sha256","source_note_sha256","rows","header_rows","body_rows","header_cells","body_cells","geometry_unchanged_across_hook","visible_text_unchanged_across_hook","status"
1,"tbl-h06-daily-analysis-roles",1,1,1,"Table 1: Analysis roles and exact fitted-sample ranges.","Analysis roles and exact fitted-sample ranges.",TRUE,"cb05b0e213a4d18f6608145d38cbecf25ccb57f13e311c9b236283ea0e7621f9","77fe71d3c6ffc99edeba1fa27dfea4ef504786a458f1c1e7a88aa351c8a9b771",7,1,5,5,26,TRUE,TRUE,"PASS"
2,"tbl-h06-daily-fdr-families",1,1,1,"Table 2: Twelve fixed 15-slot FDR families.","Twelve fixed 15-slot FDR families.",TRUE,"9ff1d82e43cb6a720fc4a41a456f1678381ed0b44893db8b709fdb0bf30ad94a","daded1e5435da028787f1b0d553cd5ba890555b451f4ca1ecace5f337c4270ef",16,1,14,9,85,TRUE,TRUE,"PASS"
3,"tbl-h06-daily-primary-matrix",1,1,1,"Table 3: Primary near-eye predictor-specific participant-day associations.","Primary near-eye predictor-specific participant-day associations.",TRUE,"5e8f190ea3f82c55c841dee29798ccf38ac40dcf0d743ce1107c3c01ce12a625","cedd24f1677fd071ac885a8bb44325c1cd1fc323d2185939840615dfacae4af5",22,1,20,9,61,TRUE,TRUE,"PASS"
4,"tbl-h06-daily-primary-site-interactions",1,1,1,"Table 4: Site-average contrasts and site adjustment factors for primary interaction blocks retained by the global FDR rule.","Site-average contrasts and site adjustment factors for primary interaction blocks retained by the global FDR rule.",TRUE,"8954230aa9c9e48e79544467d16f4741c902948e041bf68ba2ac0d9fbac3d0fe","008b850ee583509b761dd3d518f021d023082b3228f5b24fee945840eab84ff8",15,1,13,9,61,TRUE,TRUE,"PASS"
5,"tbl-h06-daily-placement-work-free",1,1,1,"Table 5: Near-eye, chest, and paired/common estimates for Free versus Work day.","Near-eye, chest, and paired/common estimates for Free versus Work day.",TRUE,"823e2fff77663155fffaee033c02f691e56f8b04ad004a34c01397819e61967e","11c4753ea84c2fa38425849b631c3873a8b5d4631379c4349105b8fe9f4dab04",22,1,20,10,76,TRUE,TRUE,"PASS"
6,"tbl-h06-daily-placement-activity",1,1,1,"Table 6: Near-eye, chest, and paired/common estimates for Active versus Sedentary status.","Near-eye, chest, and paired/common estimates for Active versus Sedentary status.",TRUE,"823e2fff77663155fffaee033c02f691e56f8b04ad004a34c01397819e61967e","11c4753ea84c2fa38425849b631c3873a8b5d4631379c4349105b8fe9f4dab04",22,1,20,10,76,TRUE,TRUE,"PASS"
7,"tbl-h06-daily-placement-sleep",1,1,1,"Table 7: Near-eye, chest, and paired/common estimates per additional hour of previous-night sleep.","Near-eye, chest, and paired/common estimates per additional hour of previous-night sleep.",TRUE,"823e2fff77663155fffaee033c02f691e56f8b04ad004a34c01397819e61967e","11c4753ea84c2fa38425849b631c3873a8b5d4631379c4349105b8fe9f4dab04",22,1,20,10,76,TRUE,TRUE,"PASS"
8,"tbl-h06-daily-gap-decision-changes",1,1,1,"Table 8: Primary versus gap-timing-unaware association decisions that crossed the FDR threshold.","Primary versus gap-timing-unaware association decisions that crossed the FDR threshold.",TRUE,"c3f56e6e9db22b6d784f951157910e483652079f4cddfd9615b8261f96dc9ace","875689221124e3dea0f78fc2ecb1ec539cab810ba53acb6348f44e992c68ccce",5,1,3,8,25,TRUE,TRUE,"PASS"
9,"tbl-h06-daily-joint-family-summary",1,1,1,"Table 9: Exploratory mutually adjusted daily-model FDR families.","Exploratory mutually adjusted daily-model FDR families.",TRUE,"1b35818c0c31262bd1e42b1cb450a6682c53daa34ba2e648fa7c72a68f7dd871","579caa666fdf6e41410eae20b10e08d953a2cd953c4b706ecde11f6cf4efa88c",11,1,9,9,37,TRUE,TRUE,"PASS"
10,"tbl-h06-daily-joint-stability-limitations",1,1,1,"Table 10: Covariate-adjustment shifts of at least one common-sample standard error.","Covariate-adjustment shifts of at least one common-sample standard error.",TRUE,"3b7d7b458476cc1a01c99b7614534b71142b6262c64568b6f20d880806668c2a","f171046722410078e8cdd73e0e1e150444dbd0e4526b34380fae1fa6168bb327",12,1,10,8,49,TRUE,TRUE,"PASS"
