"order","start_line","end_line","label","parseable_r"
1,47,582,"setup-h06-daily-reader",TRUE
2,683,745,"tbl-h06-daily-analysis-roles",TRUE
3,779,826,"tbl-h06-daily-fdr-families",TRUE
4,879,885,"tbl-h06-daily-primary-matrix",TRUE
5,911,968,"tbl-h06-daily-primary-site-interactions",TRUE
6,1004,1010,"tbl-h06-daily-placement-work-free",TRUE
7,1014,1020,"tbl-h06-daily-placement-activity",TRUE
8,1024,1030,"tbl-h06-daily-placement-sleep",TRUE
9,1046,1112,"tbl-h06-daily-gap-decision-changes",TRUE
10,1150,1184,"tbl-h06-daily-joint-family-summary",TRUE
11,1195,1257,"tbl-h06-daily-joint-stability-limitations",TRUE
12,1277,1322,"tbl-h06-daily-joint-site-interactions",TRUE
13,1367,1415,"tbl-h06-daily-temporal-gamm",TRUE
14,1441,1500,"tbl-h06-daily-main-comparison",TRUE
15,1549,1571,"tbl-h06-daily-diagnostic-summary",TRUE
