"attribute","element","token","matches_in_document","status"
"headers","td","tbl-h06-daily-analysis-roles--gt-0001",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0002",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0003",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0004",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0005",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0001",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0002",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0003",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0004",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0005",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0001",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0002",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0003",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0004",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0005",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0001",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0002",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0003",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0004",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0005",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0001",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0002",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0003",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0004",1,"PASS"
"headers","td","tbl-h06-daily-analysis-roles--gt-0005",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0008",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0001",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0008",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0002",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0008",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0003",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0008",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0004",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0008",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0005",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0008",1,"PASS"
"headers","td","tbl-h06-daily-fdr-families--gt-0006",1,"PASS"
