"check","observed","expected","status"
"native gt tables","14","14","PASS"
"figure endpoints","5","5","PASS"
"dynamic QMD links","7","7","PASS"
"source CSV links","19","19","PASS"
"answer in brief note callout","1","1","PASS"
"hourly-main complementary-daily hierarchy","TRUE","TRUE","PASS"
"reciprocal companion link","1","1","PASS"
"active navigation","H06 complementary daily results","H06 complementary daily results","PASS"
"country-coded sites","9","9","PASS"
"embedded error/warning/stderr nodes","0","0","PASS"
"unresolved cross-reference text","FALSE","FALSE","PASS"
"raw execution trace","FALSE","FALSE","PASS"
"search integration","TRUE","TRUE","PASS"
"sitemap integration","TRUE","TRUE","PASS"
