"endpoint","element","header_token","matches_in_table","resolves_to_th","status"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0001",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0002",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0003",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0004",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0005",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0001",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0002",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0003",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0004",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0005",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0001",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0002",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0003",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0004",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0005",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0001",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0002",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0003",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0004",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0005",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0001",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0002",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0003",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0004",1,TRUE,"PASS"
"tbl-h06-daily-analysis-roles","td","tbl-h06-daily-analysis-roles--gt-0005",1,TRUE,"PASS"
"tbl-h06-daily-fdr-families","td","tbl-h06-daily-fdr-families--gt-0008",1,TRUE,"PASS"
"tbl-h06-daily-fdr-families","td","tbl-h06-daily-fdr-families--gt-0001",1,TRUE,"PASS"
"tbl-h06-daily-fdr-families","td","tbl-h06-daily-fdr-families--gt-0008",1,TRUE,"PASS"
"tbl-h06-daily-fdr-families","td","tbl-h06-daily-fdr-families--gt-0002",1,TRUE,"PASS"
"tbl-h06-daily-fdr-families","td","tbl-h06-daily-fdr-families--gt-0008",1,TRUE,"PASS"
