run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,model_name,estimation_stage,formula,engine,estimation_method,family,link,observations,log_likelihood,aic,converged,positive_definite_hessian,singular,max_gradient,warnings,error,status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,site_full,comparison,response_value ~ site + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-80.1480750415079,180.2961500830158,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,no_site,comparison,response_value ~ photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-81.44179172041231,168.88358344082462,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,no_photoperiod,comparison,response_value ~ site,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-80.36647793298384,178.73295586596768,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,latitude_full,comparison,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-81.32570765822494,170.65141531644989,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,random_site,comparison,response_value ~ photoperiod_centered_hours + (1 | site),lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,,,,FALSE,FALSE,,,,Random-site description is not estimable for participant-level H01 outcomes,NON_ESTIMABLE
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,site_full,final,response_value ~ site + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-80.1480750415079,180.2961500830158,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,no_site,final,response_value ~ photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-81.44179172041231,168.88358344082462,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,no_photoperiod,final,response_value ~ site,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-80.36647793298384,178.73295586596768,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,latitude_full,final,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-81.32570765822494,170.65141531644989,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,site_full,comparison,response_value ~ site + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-66.88664081593639,153.77328163187278,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,no_site,comparison,response_value ~ photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-72.13438779269642,150.26877558539283,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,no_photoperiod,comparison,response_value ~ site,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-68.61107705156907,155.22215410313814,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,latitude_full,comparison,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-71.46339805659012,150.92679611318025,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,random_site,comparison,response_value ~ photoperiod_centered_hours + (1 | site),lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,,,,FALSE,FALSE,,,,Random-site description is not estimable for participant-level H01 outcomes,NON_ESTIMABLE
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,site_full,final,response_value ~ site + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-66.88664081593639,153.77328163187278,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,no_site,final,response_value ~ photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-72.13438779269642,150.26877558539283,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,no_photoperiod,final,response_value ~ site,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-68.61107705156907,155.22215410313814,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,latitude_full,final,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours,lm,maximum_likelihood,Gaussian,identity_after_declared_transformation,153,-71.46339805659012,150.92679611318025,TRUE,TRUE,FALSE,,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,site_full,comparison,response_value ~ site + photoperiod_centered_hours + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,902,-395.648808147065,813.29761629413,TRUE,TRUE,FALSE,1.8201262719230728e-6,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,no_site,comparison,response_value ~ photoperiod_centered_hours + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,902,-408.2985091154963,824.5970182309927,TRUE,TRUE,FALSE,8.828919817460701e-6,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,no_photoperiod,comparison,response_value ~ site + (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,902,-404.2738734573661,828.5477469147321,TRUE,TRUE,FALSE,4.495745997701306e-6,,,FITTED
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,latitude_full,comparison,response_value ~ absolute_latitude_10deg_centered + photoperiod_centered_hours +      (1 | participant_key),lmer,maximum_likelihood,Gaussian,identity_after_declared_transformation,902,-407.9656165017599,825.9312330035198,TRUE,TRUE,FALSE,7.327116691158153e-6,,,FITTED
