"check","observed","expected","status"
"parseable XML","PASS","PASS","PASS"
"root element","svg","svg","PASS"
"intrinsic width","648.00pt","648.00pt","PASS"
"intrinsic height","1296.00pt","1296.00pt","PASS"
"viewBox","0 0 648.00 1296.00","0 0 648.00 1296.00","PASS"
"native vector tag census","11/11","11/11","PASS"
"raster image elements","0","0","PASS"
"script elements","0","0","PASS"
"foreignObject elements","0","0","PASS"
"raster payload literals","0","0","PASS"
"external href dependencies","0","0","PASS"
"unique IDs","37 IDs; 0 duplicates","unique","PASS"
"resolving local references","37/37","all","PASS"
"visible participant identifiers","0","0","PASS"
"accepted visible labels and qualifications","19/19","19/19","PASS"
"accepted colour census","11/11","11/11","PASS"
