"scope","path","expected_sha256","observed_sha256","expected_bytes","observed_bytes","exists","status"
"H07 execution inputs","_quarto-nathealth.yml","e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7","e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7",10042,10042,TRUE,"PASS"
"H07 execution inputs","_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,2517,TRUE,"PASS"
"H07 execution inputs",".Rprofile","3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4","3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4",26,26,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/digest/DESCRIPTION","cfd44904db794458a5db186d88f1cd71f193858154df8e5219755ab7747adc6f","cfd44904db794458a5db186d88f1cd71f193858154df8e5219755ab7747adc6f",6797,6797,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/dplyr/DESCRIPTION","618accb16c5640af5226c0318b11becc0212038e1b25c5065fcedab68b511905","618accb16c5640af5226c0318b11becc0212038e1b25c5065fcedab68b511905",2269,2269,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggplot2/DESCRIPTION","224c178358823e51d01e45e51fcbc8d950f1511f253fac79fe3326ec26986bdc","224c178358823e51d01e45e51fcbc8d950f1511f253fac79fe3326ec26986bdc",6864,6864,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/patchwork/DESCRIPTION","971aeb34faf087262805379d0610b8adead2593b2e01328a6d38c3bcb50dd87d","971aeb34faf087262805379d0610b8adead2593b2e01328a6d38c3bcb50dd87d",1683,1683,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ragg/DESCRIPTION","327741d178633a43df8719c8c0056cf1d03f4bc4d019d89a425b8642eeeb7ef5","327741d178633a43df8719c8c0056cf1d03f4bc4d019d89a425b8642eeeb7ef5",2353,2353,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/readr/DESCRIPTION","84dec98a5abba61afbc7f54f6d1bd679fb6a8bc172f3276447c433fde102c0c5","84dec98a5abba61afbc7f54f6d1bd679fb6a8bc172f3276447c433fde102c0c5",2503,2503,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/stringr/DESCRIPTION","03ed09b7ffff2ba245df792bead457f7553bc09557862d8151600e7adce3f413","03ed09b7ffff2ba245df792bead457f7553bc09557862d8151600e7adce3f413",1620,1620,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/svglite/DESCRIPTION","d3eafc95cb062a1c98dc9d3a6db245ed846c9c4716f951b63c2333f6474ecfef","d3eafc95cb062a1c98dc9d3a6db245ed846c9c4716f951b63c2333f6474ecfef",2677,2677,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/systemfonts/DESCRIPTION","45e04cac8e31311b4ae4eee36420a6c4bb7b73dad13fa07607ca022d8877e05a","45e04cac8e31311b4ae4eee36420a6c4bb7b73dad13fa07607ca022d8877e05a",2299,2299,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tibble/DESCRIPTION","d7cfae73163fbb7815355f953c37647cea755f051512d13a6cd42b74b2b0741a","d7cfae73163fbb7815355f953c37647cea755f051512d13a6cd42b74b2b0741a",2186,2186,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tidyr/DESCRIPTION","20726612070b046d548adaa6b2703f693d1140a108a0a5fc11df71a67cb22e07","20726612070b046d548adaa6b2703f693d1140a108a0a5fc11df71a67cb22e07",2105,2105,TRUE,"PASS"
"H07 execution inputs","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/xml2/DESCRIPTION","ba57a612ed635db7eadbe9d33baf8752e8be1e5db8ec36706694e11964227bff","ba57a612ed635db7eadbe9d33baf8752e8be1e5db8ec36706694e11964227bff",2220,2220,TRUE,"PASS"
"H07 execution inputs","artifacts/06_model_data/H05/H05_metric_registry.csv","25a3df408dad73b657ea1ee20631195c93fe33340fafa7250ed6e76727c65bb7","25a3df408dad73b657ea1ee20631195c93fe33340fafa7250ed6e76727c65bb7",5096,5096,TRUE,"PASS"
"H07 execution inputs","artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113",643848,643848,TRUE,"PASS"
"H07 execution inputs","artifacts/09_tables/H07/H07_main_curve_points.csv","e92a5a89e0eda37c57de0dfa6a68d2e8c4f08b08d0ebfab5e7f2c332c9bdb034","e92a5a89e0eda37c57de0dfa6a68d2e8c4f08b08d0ebfab5e7f2c332c9bdb034",381306,381306,TRUE,"PASS"
"H07 execution inputs","artifacts/09_tables/H07/H07_revised_derivative_photoperiod_rows.csv","541dc9f86fcb7bd4740016815c988d05a6d69580af41d1e941fae46085f849cb","541dc9f86fcb7bd4740016815c988d05a6d69580af41d1e941fae46085f849cb",1419036,1419036,TRUE,"PASS"
"H07 execution inputs","artifacts/09_tables/H07/H07_revised_derivative_points.csv","8fd527ef2800217e78d4de4ce9dc55246dfd301f6a85b47cbfa91236131540e4","8fd527ef2800217e78d4de4ce9dc55246dfd301f6a85b47cbfa91236131540e4",1175999,1175999,TRUE,"PASS"
"H07 execution inputs","artifacts/09_tables/H07/H07_revised_paired_figure_settings.csv","e7fe343dca5b2d10efce3cea245f95f52bfbd27f997933346c50696b949ee4e2","e7fe343dca5b2d10efce3cea245f95f52bfbd27f997933346c50696b949ee4e2",1058,1058,TRUE,"PASS"
"H07 execution inputs","artifacts/09_tables/H07/H07_revised_plateau_summary.csv","e8ad47e76a8386fea3a9115cab2f0d477700ac55d82cc4133bd712d377fa15c1","e8ad47e76a8386fea3a9115cab2f0d477700ac55d82cc4133bd712d377fa15c1",17183,17183,TRUE,"PASS"
"H07 execution inputs","artifacts/10_figures/H01/stage3/H01_stage3_model_support.svg","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e","4ddf972fc4c8082594d13a3b446537ae8a525ca35077e0605967f9c4c0ce519e",54914,54914,TRUE,"PASS"
"H07 execution inputs","audit/handoffs/H07_worker_handoff.md","95351007249f187a5c6650e951a1ad1078923ca35c628d730334866cf3593a3e","95351007249f187a5c6650e951a1ad1078923ca35c628d730334866cf3593a3e",27270,27270,TRUE,"PASS"
"H07 execution inputs","audit/hypotheses/H06/report018_order72_svg_export/candidate/H06_stage3_site_specific_significance_screen.svg","2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83","2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83",29707,29707,TRUE,"PASS"
"H07 execution inputs","audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,49762,TRUE,"PASS"
"H07 execution inputs","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2",1901204,1901204,TRUE,"PASS"
"H07 execution inputs","audit/manuscript_nature_health/manuscript_figure_table_selection.html","7055fc384bd845f8b42e3d37901c846060aeef6b8248536dc75240070e7a51e4","7055fc384bd845f8b42e3d37901c846060aeef6b8248536dc75240070e7a51e4",29370796,29370796,TRUE,"PASS"
