"metric_order","metric_id","manuscript_name","display_unit","panel_kind","facet_label","status"
1,"daily_geometric_mean_medi","Mean melEDI","lx","Fitted metric value","Mean melEDI
Fitted value (lx)","PASS"
1,"daily_geometric_mean_medi","Mean melEDI","lx","First derivative","Mean melEDI
First derivative (model scale/h)","PASS"
2,"m10_mean_medi","Brightest 10 h mean","lx","Fitted metric value","Brightest 10 h mean
Fitted value (lx)","PASS"
2,"m10_mean_medi","Brightest 10 h mean","lx","First derivative","Brightest 10 h mean
First derivative (model scale/h)","PASS"
3,"l10_mean_medi","Darkest 10 h mean","lx","Fitted metric value","Darkest 10 h mean
Fitted value (lx)","PASS"
3,"l10_mean_medi","Darkest 10 h mean","lx","First derivative","Darkest 10 h mean
First derivative (model scale/h)","PASS"
4,"duration_above_1000","Time above 1,000 lx melEDI","h","Fitted metric value","Time above 1,000 lx melEDI
Fitted value (h)","PASS"
4,"duration_above_1000","Time above 1,000 lx melEDI","h","First derivative","Time above 1,000 lx melEDI
First derivative (model scale/h)","PASS"
5,"duration_above_250_wake","Time above 250 lx melEDI during wake","h","Fitted metric value","Time above 250 lx melEDI during wake
Fitted value (h)","PASS"
5,"duration_above_250_wake","Time above 250 lx melEDI during wake","h","First derivative","Time above 250 lx melEDI during wake
First derivative (model scale/h)","PASS"
6,"duration_below_10_pre_sleep","Time below 10 lx melEDI before sleep","h","Fitted metric value","Time below 10 lx melEDI before sleep
Fitted value (h)","PASS"
6,"duration_below_10_pre_sleep","Time below 10 lx melEDI before sleep","h","First derivative","Time below 10 lx melEDI before sleep
First derivative (model scale/h)","PASS"
7,"duration_below_1_sleep_environment","Time below 1 lx melEDI during sleep","h","Fitted metric value","Time below 1 lx melEDI during sleep
Fitted value (h)","PASS"
7,"duration_below_1_sleep_environment","Time below 1 lx melEDI during sleep","h","First derivative","Time below 1 lx melEDI during sleep
First derivative (model scale/h)","PASS"
8,"longest_bout_above_250","Longest continuous period above 250 lx melEDI","h","Fitted metric value","Longest continuous period above 250
lx melEDI
Fitted value (h)","PASS"
8,"longest_bout_above_250","Longest continuous period above 250 lx melEDI","h","First derivative","Longest continuous period above 250
lx melEDI
First derivative (model scale/h)","PASS"
9,"dose_time_sensitive_corrected_medi","melEDI dose","lx·h","Fitted metric value","melEDI dose
Fitted value (lx·h)","PASS"
9,"dose_time_sensitive_corrected_medi","melEDI dose","lx·h","First derivative","melEDI dose
First derivative (model scale/h)","PASS"
