"text","present","status"
"Mean melEDI",TRUE,"PASS"
"Brightest 10 h mean",TRUE,"PASS"
"Darkest 10 h mean",TRUE,"PASS"
"Time above 1,000 lx melEDI",TRUE,"PASS"
"Time above 250 lx melEDI during wake",TRUE,"PASS"
"Time below 10 lx melEDI before sleep",TRUE,"PASS"
"Time below 1 lx melEDI during sleep",TRUE,"PASS"
"Longest continuous period above 250 lx melEDI",TRUE,"PASS"
"melEDI dose",TRUE,"PASS"
"Fitted value (lx)",TRUE,"PASS"
"Fitted value (h)",TRUE,"PASS"
"Fitted value (lx·h)",TRUE,"PASS"
"First derivative (model scale/h)",TRUE,"PASS"
"Civil photoperiod (h)",TRUE,"PASS"
"Each row pairs the response-scale fitted metric value (left)",TRUE,"PASS"
"with the model-scale first derivative used for classification (right).",TRUE,"PASS"
"Grey ribbons are unconditional pointwise 95% intervals; dashed lines",TRUE,"PASS"
"and blue tails mark the derivative-defined plateau pattern.",TRUE,"PASS"
"Near-eye — primary",TRUE,"PASS"
