"check","observed","expected","status"
"five plotting CSVs plus metric registry pinned","6/6","6/6","PASS"
"literal metric IDs","9","9","PASS"
"placement by metric key set in curves","18/18","18/18","PASS"
"placement by metric key set in derivatives","18/18","18/18","PASS"
"placement by metric key set in plateaus","18/18","18/18","PASS"
"placement by metric key set in rugs","18/18","18/18","PASS"
"selected derivative rows","1800","1800","PASS"
"selected plateau rows","18","18","PASS"
"derivative points per placement and metric","100","100","PASS"
"near-eye settings row","1","1","PASS"
"near-eye canvas","9 by 18 in","9 by 18 in","PASS"
"near-eye interval and derivative method","unconditional pointwise 95% confidence interval | REVISED_CENTRAL_UNCONDITIONAL_POINTWISE","unconditional pointwise 95% confidence interval | REVISED_CENTRAL_UNCONDITIONAL_POINTWISE","PASS"
