"endpoint_type","order","label"
"table",1,"tbl-h06d-prep-execution-boundary"
"table",2,"tbl-h06d-prep-input-provenance"
"table",3,"tbl-h06d-prep-metric-registry"
"table",4,"tbl-h06d-prep-predictors"
"table",5,"tbl-h06d-prep-primary-samples"
"table",6,"tbl-h06d-prep-sample-roles"
"table",7,"tbl-h06d-prep-category-support"
"table",8,"tbl-h06d-prep-site-support"
"table",9,"tbl-h06d-prep-model-hierarchy"
"table",10,"tbl-h06d-prep-multiplicity"
"table",11,"tbl-h06d-prep-diagnostics"
"table",12,"tbl-h06d-prep-sensitivities"
"table",13,"tbl-h06d-prep-joint-context"
"table",14,"tbl-h06d-prep-temporal-formula"
"table",15,"tbl-h06d-prep-temporal-support"
"table",16,"tbl-h06d-prep-code-map"
"table",17,"tbl-h06d-prep-output-trace"
"figure",1,"fig-h06d-prep-primary-sample-support"
