"path","expected_sha256","observed_sha256","expected_bytes","observed_bytes","status"
"scripts/report_harmonization/check_h06_daily_order48d_result_acceptance.R","2a49d14d2ee64948022cfee0ea13db2adbe5bd980180be749b3d4a4a4dbb269b","2a49d14d2ee64948022cfee0ea13db2adbe5bd980180be749b3d4a4a4dbb269b",15413,15413,"PASS"
"audit/report_harmonization/report018_h06_daily_result_independent_acceptance.md","eef994b2851d8b150719ce34f158ce46a77c7d49c8e12ed7ceeee6f7f1aac8d6","eef994b2851d8b150719ce34f158ce46a77c7d49c8e12ed7ceeee6f7f1aac8d6",3930,3930,"PASS"
"audit/hypotheses/H06_daily/report018_order48a_display_repair/order48a_combined_completion.md","3a5404df72271efc2f02975fd0a92a478f3501b2df57f2518c334f41f1a0d230","3a5404df72271efc2f02975fd0a92a478f3501b2df57f2518c334f41f1a0d230",764,764,"PASS"
"audit/hypotheses/H06_daily/report018_order48a_display_repair/order48a_acceptance_manifest.csv","fda3e6905b283c4d57540777e1550e947ffe60d6336fb1046a808726fe8f2f8a","fda3e6905b283c4d57540777e1550e947ffe60d6336fb1046a808726fe8f2f8a",21716,21716,"PASS"
"tests/hypotheses/H06_daily/test_h06_daily_order48_display_repair.R","06abb903f7de51792d1dbb57d8ffcfd26ddf02ebd2455f646ae3f12db6ee6109","06abb903f7de51792d1dbb57d8ffcfd26ddf02ebd2455f646ae3f12db6ee6109",66973,66973,"PASS"
"notebooks/hypotheses/H06_daily.qmd","8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639","8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639",65349,65349,"PASS"
"_build/nathealth/notebooks/hypotheses/H06_daily.html","74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c","74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c",11946551,11946551,"PASS"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd","ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709","ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709",35409,35409,"PASS"
"_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259","7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259",4613650,4613650,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,"PASS"
"artifacts/12_manifests/H06_daily/H06_daily_order48a_display_manifest.csv","395c112968c00294cbc085246894feae9cd7746e4e5c5714b96cb9e59fd90fc6","395c112968c00294cbc085246894feae9cd7746e4e5c5714b96cb9e59fd90fc6",5361,5361,"PASS"
"audit/report_harmonization/owner_orders/48d_h06_daily_authorized_verifier_transition.csv","e985c74053d4e9ce7c3793a2453dd7b6b888cfeb806d4db9d1bedf83206f204c","e985c74053d4e9ce7c3793a2453dd7b6b888cfeb806d4db9d1bedf83206f204c",429,429,"PASS"
"audit/hypotheses/H06_daily/report018_order48a_display_repair/gt_html_semantic_post_render_summary.csv","bafde8ff09dda671e725d72adfa458f58bd599cba41a6881ed5a75862c9a917a","bafde8ff09dda671e725d72adfa458f58bd599cba41a6881ed5a75862c9a917a",471,471,"PASS"
