placement,placement_label,metric_order,metric_id,manuscript_name,refits,successful_refits,sign_reversal_any,maximum_relative_absolute_change,most_influential_omitted_site,influence_status
chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,8,8,FALSE,0.8640127916576356,Madrid (ES),magnitude-sensitive to one site
chest,Chest,2,m10_mean_medi,Brightest 10 h mean,8,8,FALSE,0.5785404885148957,Madrid (ES),magnitude-sensitive to one site
chest,Chest,3,l10_mean_medi,Darkest 10 h mean,8,8,TRUE,1.7359433392628685,San José (CR),direction-sensitive to one site
chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",8,8,FALSE,0.3049412831409519,Borås (SE),direction stable in leave-one-site-out refits
chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,8,8,FALSE,0.22819882402404307,San José (CR),direction stable in leave-one-site-out refits
chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,8,8,FALSE,1.1117158513190009,Dortmund (DE),magnitude-sensitive to one site
chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,8,8,TRUE,3.517782441008043,Madrid (ES),direction-sensitive to one site
chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,8,8,FALSE,0.2767481627865633,Borås (SE),direction stable in leave-one-site-out refits
chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,8,8,FALSE,0.43770005824054947,Borås (SE),direction stable in leave-one-site-out refits
glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,9,9,FALSE,0.6191418463703815,Madrid (ES),magnitude-sensitive to one site
glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,9,9,FALSE,0.4094347727372016,Madrid (ES),direction stable in leave-one-site-out refits
glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,9,9,FALSE,1.3032099732820586,Madrid (ES),magnitude-sensitive to one site
glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",9,9,FALSE,0.3504717240496969,Borås (SE),direction stable in leave-one-site-out refits
glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,9,9,FALSE,0.2352788044980484,Tübingen (DE),direction stable in leave-one-site-out refits
glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,9,9,FALSE,1.0151376413706885,Tübingen (DE),magnitude-sensitive to one site
glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,9,9,TRUE,3.9834245693434713,Izmir (TR),direction-sensitive to one site
glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,9,9,FALSE,0.2841454365535662,Borås (SE),direction stable in leave-one-site-out refits
glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,9,9,FALSE,0.33750086810103797,Borås (SE),direction stable in leave-one-site-out refits
