role,path,sha256,bytes,r_version
result_qmd,notebooks/hypotheses/H04.qmd,243896d4c22f68d23027f77f3721882e0a3d55274e67014e75d6ff55e2e243af,83029,4.6.1
companion_qmd,audit/hypotheses/H04/H04_analysis_preparation.qmd,5b6255184ab1988f2b89dfc363e1eb7d010d6f85436c7ff32754289af6e6de48,91511,4.6.1
figure_builder,scripts/hypotheses/H04/build_h04_manuscript_figure3_candidate_author_revision2.R,d162b72a96d2d76732f7529473b810eaf1276bbedbdac0d80d92e65b7b6d9ce6,44145,4.6.1
figure_verifier,tests/hypotheses/H04/test_h04_manuscript_figure3_candidate_author_revision2.R,9a190001edb50d3161c2e7d61a982e246ffdc866f4dda9f02f56cc1a3455544f,32620,4.6.1
selected_figure_png,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate.png,22d402974fc0df26c77536e5db8af166e87637f2192ea4cc4f01da2d98ebb122,2450756,4.6.1
selected_figure_svg,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate.svg,012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd,226671,4.6.1
selected_figure_caption,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate_caption.txt,a2f55a592ee759237497c7ac5197c54132862f25cd4625f829ebafc84471ae36,1191,4.6.1
candidate_output_manifest,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate_outputs.csv,a6b6ee2d53d30f5e92a4611f390650d6a436cc91a9b51a10b28ee47eb2b9edf6,3910,4.6.1
verification_results,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_acceptance_2026_09_01/h04_manuscript_figure3_revision2_test_results.csv,34de5fe3bc18b620d0c3a8166df7c5ac7cffe62323004845c988b30dafa9a90d,2880,4.6.1
frozen_input_verification,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_acceptance_2026_09_01/h04_manuscript_figure3_revision2_frozen_input_verification.csv,e0df4ac91203437b8b0ba25930f73e2b669e7ca592879c4eb701a75196bbe496,1921,4.6.1
frame_verification,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_acceptance_2026_09_01/h04_manuscript_figure3_revision2_frame_verification.csv,95485564c3f4f268643a97442b864883f069f7fa8a1ca7211ea40e2581e9c22b,399,4.6.1
pixel_verification,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_acceptance_2026_09_01/h04_manuscript_figure3_revision2_pixel_verification.csv,ad0cf820748f40f4a954a63680791f03feb2dbcdb943772f3afa1d6bcbef46fb,225,4.6.1
session_info,audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_acceptance_2026_09_01/h04_manuscript_figure3_revision2_session_info.txt,6a03bdd221c0ada453f578b9ed05fb87d4cbfd465fe1eeaf7af79f730e7c2c5d,1040,4.6.1
