path,sha256,observed_sha256
artifacts/10_figures/H04/H04_temporal_near_eye.png,8f048e0716e036413f541054a03c521941b4728f661871223b3e4c238991b3d4,8f048e0716e036413f541054a03c521941b4728f661871223b3e4c238991b3d4
artifacts/10_figures/H04/H04_temporal_near_eye.svg,2a804065daa8550523f90391350ed9ec654f3ad66dbc3d5e410ef408739a7678,2a804065daa8550523f90391350ed9ec654f3ad66dbc3d5e410ef408739a7678
artifacts/09_tables/H04/H04_reader_heterogeneity_category_estimands.csv,733086079d21a6bb13ea36a43020c6a0d0204f648797337dff1d6ea4dcd32084,733086079d21a6bb13ea36a43020c6a0d0204f648797337dff1d6ea4dcd32084
artifacts/09_tables/H04/H04_reader_category_estimands.csv,e27bc81e0c6dd2ff50dd0c6ffa4e95d9c7e9c16e5b20ce45fb4df7d1e89f3652,e27bc81e0c6dd2ff50dd0c6ffa4e95d9c7e9c16e5b20ce45fb4df7d1e89f3652
artifacts/09_tables/H04/H04_site_activity_estimands.csv,f07f54bc288bd660b0e3a107016c7852a64ce72c0f1594df052519062a2c5caf,f07f54bc288bd660b0e3a107016c7852a64ce72c0f1594df052519062a2c5caf
artifacts/11_source_data/H04/H04_preparation_category_support.csv,58f0ffda98fbc486a5cb720088a5183c57e894488350a1759047876a3cd9174f,58f0ffda98fbc486a5cb720088a5183c57e894488350a1759047876a3cd9174f
config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809
scripts/hypotheses/H03/build_h03_manuscript_supplementary_figure_s7.R,5e662069c2d6412334d2ace2d9989aca90f329a25171d97601be021edb46c6e4,5e662069c2d6412334d2ace2d9989aca90f329a25171d97601be021edb46c6e4
artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.png,ae5174afa8d9b57b5d9a635dfe2320482105d72007882db7513e29380271f52d,ae5174afa8d9b57b5d9a635dfe2320482105d72007882db7513e29380271f52d
artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.svg,a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3,a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3
