factor_order,factor_id,factor_label,possible_min,possible_max,score,participants
1,leba_f2,Spending time outdoors,6,30,6,1
1,leba_f2,Spending time outdoors,6,30,9,9
1,leba_f2,Spending time outdoors,6,30,10,8
1,leba_f2,Spending time outdoors,6,30,11,10
1,leba_f2,Spending time outdoors,6,30,12,15
1,leba_f2,Spending time outdoors,6,30,13,14
1,leba_f2,Spending time outdoors,6,30,14,21
1,leba_f2,Spending time outdoors,6,30,15,13
1,leba_f2,Spending time outdoors,6,30,16,18
1,leba_f2,Spending time outdoors,6,30,17,12
1,leba_f2,Spending time outdoors,6,30,18,12
1,leba_f2,Spending time outdoors,6,30,19,14
1,leba_f2,Spending time outdoors,6,30,20,13
1,leba_f2,Spending time outdoors,6,30,21,9
1,leba_f2,Spending time outdoors,6,30,22,7
1,leba_f2,Spending time outdoors,6,30,23,3
1,leba_f2,Spending time outdoors,6,30,24,3
1,leba_f2,Spending time outdoors,6,30,25,1
1,leba_f2,Spending time outdoors,6,30,26,1
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,6,3
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,7,4
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,8,1
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,9,3
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,10,7
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,11,10
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,12,27
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,13,32
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,14,21
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,15,19
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,16,21
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,17,19
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,18,4
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,19,4
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,20,2
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,21,2
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,22,1
2,leba_f3,Using phones and smartwatches in bed before sleep,5,25,23,4
3,leba_f4,Controlling and using ambient light before bedtime,4,20,4,5
3,leba_f4,Controlling and using ambient light before bedtime,4,20,5,3
3,leba_f4,Controlling and using ambient light before bedtime,4,20,6,3
3,leba_f4,Controlling and using ambient light before bedtime,4,20,7,5
3,leba_f4,Controlling and using ambient light before bedtime,4,20,8,17
3,leba_f4,Controlling and using ambient light before bedtime,4,20,9,11
3,leba_f4,Controlling and using ambient light before bedtime,4,20,10,12
3,leba_f4,Controlling and using ambient light before bedtime,4,20,11,13
3,leba_f4,Controlling and using ambient light before bedtime,4,20,12,28
3,leba_f4,Controlling and using ambient light before bedtime,4,20,13,6
3,leba_f4,Controlling and using ambient light before bedtime,4,20,14,11
3,leba_f4,Controlling and using ambient light before bedtime,4,20,15,18
3,leba_f4,Controlling and using ambient light before bedtime,4,20,16,17
3,leba_f4,Controlling and using ambient light before bedtime,4,20,17,5
3,leba_f4,Controlling and using ambient light before bedtime,4,20,18,6
3,leba_f4,Controlling and using ambient light before bedtime,4,20,19,7
3,leba_f4,Controlling and using ambient light before bedtime,4,20,20,17
4,leba_f5,Using light in the morning and during daytime,5,25,5,8
4,leba_f5,Using light in the morning and during daytime,5,25,6,5
4,leba_f5,Using light in the morning and during daytime,5,25,7,9
4,leba_f5,Using light in the morning and during daytime,5,25,8,7
4,leba_f5,Using light in the morning and during daytime,5,25,9,16
4,leba_f5,Using light in the morning and during daytime,5,25,10,23
4,leba_f5,Using light in the morning and during daytime,5,25,11,19
4,leba_f5,Using light in the morning and during daytime,5,25,12,15
4,leba_f5,Using light in the morning and during daytime,5,25,13,18
4,leba_f5,Using light in the morning and during daytime,5,25,14,18
4,leba_f5,Using light in the morning and during daytime,5,25,15,12
4,leba_f5,Using light in the morning and during daytime,5,25,16,9
4,leba_f5,Using light in the morning and during daytime,5,25,17,11
4,leba_f5,Using light in the morning and during daytime,5,25,18,3
4,leba_f5,Using light in the morning and during daytime,5,25,19,6
4,leba_f5,Using light in the morning and during daytime,5,25,20,2
4,leba_f5,Using light in the morning and during daytime,5,25,21,2
4,leba_f5,Using light in the morning and during daytime,5,25,22,1
