run_id,placement,site,display_name,display_order,color_hex,clock_bin,time_hour,eta,standard_error,pointwise_lower_eta,pointwise_upper_eta,estimate_melEDI_lx,pointwise_lower_melEDI_lx,pointwise_upper_melEDI_lx,paired_participants,paired_participant_days,paired_observations_30_minute,paired_sites
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,0,0.25,-0.769405374623552,0.2844165723824689,-1.3268516130995203,-0.21195913614758366,0.07005704386366632,0,0.5138197582817042,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,0,0.25,-0.7811213624481077,0.2615903028093102,-1.2938289346592824,-0.2684137902369329,0.06553073275622776,0,0.4389968284899668,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,30,0.75,-0.8529454558378622,0.25312457702568675,-1.3490605104101427,-0.3568304012655815,0.04029898986109664,0,0.33971329677924367,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,30,0.75,-0.8578074991085355,0.23573036370749595,-1.3198305220377553,-0.3957844761793157,0.03873706442018213,0,0.3019902538187612,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,60,1.25,-0.9035768717602553,0.22460158532069535,-1.343787889859418,-0.46336585366109245,0.02485994182264314,0,0.24405996936859828,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,60,1.25,-0.9049975574741584,0.21356015937136436,-1.3235677783746667,-0.48642733657365034,0.02445216110950565,0,0.22626663471290878,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,90,1.75,-0.9357382378081068,0.1989358545119513,-1.3256453478852313,-0.5458311277309824,0.01594759962320785,0,0.18455673706492723,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,90,1.75,-0.9356447466303224,0.19464718799098765,-1.3171462247846555,-0.5541432684759894,0.01597256251121315,0,0.17916227668676468,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,120,2.25,-0.9629632969986436,0.17511920097440076,-1.3061906239099006,-0.6197359700873867,0.00890221246468558,0,0.14002917361091452,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,120,2.25,-0.9618966541337362,0.17730572708616704,-1.3094094934753113,-0.614383814792161,0.00917000893892387,0,0.14300554588810038,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,150,2.75,-0.9881391562920944,0.15300919455375464,-1.2880316669209355,-0.6882466456632532,0.00276869547295545,0,0.10499976081359474,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,150,2.75,-0.9861245336841864,0.16111402451519186,-1.3019022191382656,-0.6703468482301072,0.00324653044984712,0,0.11362552929423295,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,180,3.25,-1.0031616046391638,0.13425316325754064,-1.2662929694345195,-0.7400302398438081,0,0,0.0819574157589586,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,180,3.25,-1.000663384013617,0.14762649601453529,-1.2900059993659518,-0.7113207686612821,0,0,0.0943923774725825,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,210,3.75,-0.9957700585739364,0.1204334195812635,-1.2318152234882138,-0.7597248936596591,9.7873862925614e-4,0,0.0738901997425048,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,210,3.75,-0.994200415631962,0.13802101309145795,-1.264716630400951,-0.7236842008629732,0.00134435998904669,0,0.08893647095472171,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,240,4.25,-0.950525807032586,0.11125873879409784,-1.168588928034367,-0.732462686030805,0.01206608312543847,0,0.08515579706200746,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,240,4.25,-0.9526504552938402,0.1315009367600136,-1.210387555276746,-0.6949133553109343,0.01151917417251474,0,0.10187690816054448,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,270,4.75,-0.8499329417309587,0.10578993063770778,-1.0572773957078563,-0.6425884877540611,0.04127556676704427,0,0.12772542027124206,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,270,4.75,-0.8595615246568886,0.1268589798790967,-1.1082005563354094,-0.6109224929783679,0.03817786413167148,0,0.14495003566247,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,300,5.25,-0.6755379538818722,0.10473841200794766,-0.8808214692153671,-0.47025443854837734,0.11108727142693406,0.03157656090162467,0.23864569687136392,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,300,5.25,-0.6958840708750769,0.12469371239693562,-0.9402792562716662,-0.4514888854784875,0.10142618584683302,0.014741558302065305,0.2535990703385159,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,330,5.75,-0.41363574701418543,0.10862280374193584,-0.6265325302481421,-0.20073896378022865,0.2858018030429008,0.136302039363828,0.5298846663865799,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,330,5.75,-0.44661723991491176,0.1257746621337083,-0.6931310478646737,-0.20010343196514985,0.25758785495897063,0.10270709608762799,0.5308070930032043,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,360,6.25,-0.05800735998010753,0.11589166144806871,-0.2851508425268312,0.16913612256661611,0.7749689470201238,0.41861987656634103,1.376169142066373,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,360,6.25,-0.10363328068184,0.12922276139759836,-0.35690523900394544,0.14963867764026548,0.6877106537435222,0.33963753179739553,1.3113628367538819,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,390,6.75,0.38780796972451925,0.12421901207203082,0.14434317986819276,0.6312727595808457,2.3423503894820574,1.2942581117036367,4.178315022829211,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,390,6.75,0.3319971922218519,0.13329361494151623,0.0707465075673302,0.5932478768763736,2.0478165881332946,1.0769188197282227,3.819655305814398,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,420,7.25,0.8863309737673799,0.1329335802856598,0.625785944071523,1.1468760034632368,7.5971681435980765,4.124603398494732,13.92413240777374,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,420,7.25,0.824688220289406,0.13765872441209312,0.554882078283979,1.094494362294833,6.5786428611288095,3.4882449167339695,12.330664991258661,112,643,29786,8
main__glasses__paired_common_sample,Near eye,RISE,Borås (SE),1,#88CCEE,450,7.75,1.3792194939009437,0.1423690073593565,1.1001813669618872,1.6582576208400002,23.84525652005323,12.49451265033338,45.42580363607594,112,643,29786,8
main__chest__paired_common_sample,Chest,RISE,Borås (SE),1,#88CCEE,450,7.75,1.3173972455038168,0.14295991770891542,1.0372009555615327,1.5975935354461008,20.668122916328866,10.794340766966139,39.49073235303773,112,643,29786,8
