"path","type","bytes"
"audit/manuscript_nature_health/author_block_word_correction_2026_09_02","directory",
"audit/manuscript_nature_health/author_decision_2026-08-13.md","file",8747
"audit/manuscript_nature_health/brown_cross_state_stage4_provenance_acceptance_2026-08-21.md","file",4337
"audit/manuscript_nature_health/brown_stage3_acceptance_integration_2026-08-21.md","file",7706
"audit/manuscript_nature_health/brown_stage3_pending_receipt_2026-08-15.md","file",1690
"audit/manuscript_nature_health/claim_evidence_map.csv","file",32380
"audit/manuscript_nature_health/current_revision_reconciliation_2026-09-02.md","file",12786
"audit/manuscript_nature_health/display_amendment_2026_09_01","directory",
"audit/manuscript_nature_health/end_matter_restore_2026-08-14.md","file",3097
"audit/manuscript_nature_health/ethics_approval_matrix.csv","file",2457
"audit/manuscript_nature_health/ethics_document_review_2026-08-14.md","file",1476
"audit/manuscript_nature_health/figure_table_integration_qa_2026-08-31.md","file",12013
"audit/manuscript_nature_health/figure_table_selection_assets","directory",
"audit/manuscript_nature_health/figure_table_selection_qa","directory",
"audit/manuscript_nature_health/figure_table_selection_svg_revision_2026_09_11","directory",
"audit/manuscript_nature_health/final_production_render_2026_09_02","directory",
"audit/manuscript_nature_health/final_serial_render_2026_09_01","directory",
"audit/manuscript_nature_health/first_largest_discovery","directory",
"audit/manuscript_nature_health/h04_pending_integration_review_2026-08-14.md","file",4681
"audit/manuscript_nature_health/health_outcomes_discovery","directory",
"audit/manuscript_nature_health/literature_addendum_2026-09-02.md","file",3442
"audit/manuscript_nature_health/manuscript_figure_table_selection_all_gt_candidate.html","file",30427298
"audit/manuscript_nature_health/manuscript_figure_table_selection_all_gt_candidate.qmd","file",47687
"audit/manuscript_nature_health/manuscript_figure_table_selection_manifest.csv","file",7991
"audit/manuscript_nature_health/manuscript_figure_table_selection.html","file",30925051
"audit/manuscript_nature_health/manuscript_figure_table_selection.qmd","file",49967
"audit/manuscript_nature_health/narrative_blueprint_files","directory",
"audit/manuscript_nature_health/narrative_blueprint.html","file",1968651
"audit/manuscript_nature_health/narrative_blueprint.qmd","file",47269
"audit/manuscript_nature_health/nature_health_targeting_memo.md","file",16372
"audit/manuscript_nature_health/nature_medicine_reviewer_map.csv","file",13269
"audit/manuscript_nature_health/old_reference_disposition.csv","file",52485
"audit/manuscript_nature_health/old_reference_disposition.md","file",3668
"audit/manuscript_nature_health/old_to_new_section_map.csv","file",22175
"audit/manuscript_nature_health/order71a_execution_2026_09_03","directory",
"audit/manuscript_nature_health/order71a_source_and_display_inventory.csv","file",48842
"audit/manuscript_nature_health/order71b_execution_2026_09_03","directory",
"audit/manuscript_nature_health/phase1_validation.md","file",8313
"audit/manuscript_nature_health/phase2_clarity_changes.md","file",5786
"audit/manuscript_nature_health/phase2_paragraph_claim_audit.csv","file",15861
"audit/manuscript_nature_health/phase2_protected_number_audit.csv","file",6879
"audit/manuscript_nature_health/phase2_validation.md","file",5138
"audit/manuscript_nature_health/phase3_author_feedback_2026-08-14.md","file",13044
"audit/manuscript_nature_health/phase3_brown_clarity_changes.md","file",3128
"audit/manuscript_nature_health/phase3_brown_editorial_pass_2026-09-01.md","file",9304
"audit/manuscript_nature_health/phase3_brown_paragraph_claim_audit.csv","file",28371
"audit/manuscript_nature_health/phase3_brown_protected_number_audit.csv","file",12841
"audit/manuscript_nature_health/phase3_brown_validation.md","file",5813
"audit/manuscript_nature_health/phase3_clarity_changes.md","file",6313
"audit/manuscript_nature_health/phase3_paragraph_claim_audit.csv","file",23311
"audit/manuscript_nature_health/phase3_protected_number_audit.csv","file",10512
"audit/manuscript_nature_health/phase3_validation.md","file",7692
"audit/manuscript_nature_health/reference_doc_word_correction_2026_09_02","directory",
"audit/manuscript_nature_health/revision_2026_09_11","directory",
"audit/manuscript_nature_health/si_s4_s5_sleep_wording_source_seal_2026-09-01.md","file",2270
"audit/manuscript_nature_health/source_inventory.md","file",23313
"audit/manuscript_nature_health/tubingen_formative_input_correction_2026-08-14.md","file",2021
"audit/manuscript_nature_health/unresolved_author_decisions.md","file",10702
