"check","observed","expected","pass"
"qmd_preimage","9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3","9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3",TRUE
"canonical_preimage","82100e0d3990dec39f61e94970e7a434b02cf94a6d25819ede1be4d24f4130a6","82100e0d3990dec39f61e94970e7a434b02cf94a6d25819ede1be4d24f4130a6",TRUE
"first_candidate","7688f8ea58e0045fca25c6de971e418b7c6c873dc83f75ed34d942fdcb1c36b4","7688f8ea58e0045fca25c6de971e418b7c6c873dc83f75ed34d942fdcb1c36b4",TRUE
"prospective_copy","197e571f3aaa2be34747ee742a20018f98d541eed87851250b4f3eda131c72a9","197e571f3aaa2be34747ee742a20018f98d541eed87851250b4f3eda131c72a9",TRUE
"verifier_copy","ae2e8a3a4a43c99dc7e0bccf49b812d26cfd695d775e6da001822dbb97983cd7","ae2e8a3a4a43c99dc7e0bccf49b812d26cfd695d775e6da001822dbb97983cd7",TRUE
"qmd_local_preimage_copy","9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3","9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3",TRUE
"live_checker_local_copy","ef2fd6bf1bd3a3c0a70d8771a8f4da4ea1b96ea86d89e015ddd5cf14337702e9","ef2fd6bf1bd3a3c0a70d8771a8f4da4ea1b96ea86d89e015ddd5cf14337702e9",TRUE
"complete_prior_qa_copy","11","11",TRUE
"recovery_directories_not_symlinks","4","4",TRUE
"temporary_candidate_absent","FALSE","FALSE",TRUE
"final_candidate_absent","FALSE","FALSE",TRUE
"output_override_unset","FALSE","FALSE",TRUE
"copied_verifier_parses","TRUE","TRUE",TRUE
