"manuscript_display","endpoint","source_cells","rendered_cells","source_text_tokens","rendered_text_tokens","cell_text_exact","historical_rendered_cells_exact"
"Main Table 1","tbl-participant-site-manuscript",187,187,355,355,TRUE,TRUE
"Main Table 2","tbl-plan-brown-main-adherence",32,32,31,31,TRUE,TRUE
"Main Table 3","tbl-plan-h01-metric-synthesis-candidate",137,137,493,493,TRUE,TRUE
"Supplementary Table S1","tbl-plan-descriptive-sample-flow",48,48,48,48,TRUE,TRUE
"Supplementary Table S2","tbl-near-eye-metrics",263,263,806,806,TRUE,TRUE
"Supplementary Table S3","tbl-recommendation-context",116,116,199,199,TRUE,TRUE
"Supplementary Table S4","tbl-plan-brown-cross-window-associations",29,29,29,29,TRUE,TRUE
"Supplementary Table S5","tbl-plan-h02-glasses-variation-shapley-gt-candidate",36,36,35,35,TRUE,TRUE
"Supplementary Table S6","tbl-plan-h02-chest-variation-shapley-gt-candidate",36,36,35,35,TRUE,TRUE
"Supplementary Table S7","tbl-h01-primary-publication-summary",153,153,237,237,TRUE,TRUE
"Supplementary Table S8","tbl-h07-near-results",54,54,53,53,TRUE,TRUE
"Supplementary Table S9","tbl-h06-primary-effects",13,13,13,13,TRUE,TRUE
"Supplementary Table S10","tbl-plan-person-level-synthesis-gt-candidate",58,58,57,57,TRUE,TRUE
"Supplementary Table S11 continued A","tbl-h05-near-results-a",56,56,95,95,TRUE,TRUE
"Supplementary Table S11 continued B","tbl-h05-near-results-b",41,41,68,68,TRUE,TRUE
"Supplementary Table S12","tbl-h08-near-eye-results",51,61,51,51,TRUE,TRUE
"Supplementary Table S13","tbl-h09-near-eye-results",56,56,56,56,TRUE,TRUE
"Supplementary Table S14","tbl-h10-main-results",73,73,73,73,TRUE,TRUE
"Supplementary Table S15","tbl-h11-global-tests",29,29,28,28,TRUE,TRUE
