"xpath","text","style","column","row","following_image"
"/html/body/div/div/div/table/tbody/tr[2]/td[13]/span","Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,2,TRUE
"/html/body/div/div/div/table/tbody/tr[3]/td[13]/span","Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,3,TRUE
"/html/body/div/div/div/table/tbody/tr[4]/td[13]/span","Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,4,TRUE
"/html/body/div/div/div/table/tbody/tr[5]/td[13]/span","Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,5,TRUE
"/html/body/div/div/div/table/tbody/tr[6]/td[13]/span","Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,6,TRUE
"/html/body/div/div/div/table/tbody/tr[8]/td[13]/span","Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,8,TRUE
"/html/body/div/div/div/table/tbody/tr[9]/td[13]/span","Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,9,TRUE
"/html/body/div/div/div/table/tbody/tr[11]/td[13]/span","melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,11,TRUE
"/html/body/div/div/div/table/tbody/tr[13]/td[13]/span","Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,13,TRUE
"/html/body/div/div/div/table/tbody/tr[14]/td[13]/span","Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,14,TRUE
"/html/body/div/div/div/table/tbody/tr[15]/td[13]/span","Darkest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,15,TRUE
"/html/body/div/div/div/table/tbody/tr[17]/td[13]/span","Melanopic daylight efficacy ratio distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,17,TRUE
"/html/body/div/div/div/table/tbody/tr[19]/td[13]/span","Midpoint of the brightest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,19,TRUE
"/html/body/div/div/div/table/tbody/tr[20]/td[13]/span","Midpoint of the darkest 10 hours distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,20,TRUE
"/html/body/div/div/div/table/tbody/tr[21]/td[13]/span","First light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,21,TRUE
"/html/body/div/div/div/table/tbody/tr[22]/td[13]/span","Last light timing above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,22,TRUE
"/html/body/div/div/div/table/tbody/tr[23]/td[13]/span","Mean timing of exposure above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0",14,23,TRUE
