"check","pass","detail"
"owner_manifest_sha",TRUE,"Exact 335-member stopped owner manifest"
"owner_manifest_shape",TRUE,"Unique and non-circular"
"owner_members",TRUE,"335/335 exact"
"stop_record",TRUE,"Exact STOPPED_CAPTURE_CHECK"
"owner_seal",TRUE,"Exact owner seal"
"teardown_sha",TRUE,"Exact teardown evidence"
"exact_three_aliases",TRUE,"Only helper and two candidate CSS transitions"
"live_and_preimage_hashes",TRUE,"All three authorized live postimages and retained preimages exact"
"history_resolution",TRUE,"No unlisted historical alias"
"history_exact",TRUE,"2309/2309 exact with three preimage aliases"
"served_pairs",TRUE,"12 immutable source/serve pairs exact"
"completed_captures_after.csv",TRUE,"19 prior captures exact"
"attempt3_after.csv",TRUE,"8 prior captures exact"
"partial_capture",TRUE,"One source HTML; zero part HTML, PNG or completed capture manifest"
"closed_server_and_lease",TRUE,"Recorded exact server close and lease003 release"
"no_unconsumed_capture_claim",TRUE,"Prior S2 allowance exhausted, downstream allowances untouched"
