run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,attempted_refits,successful_refits,used_refits,failed_refits,warning_refits,seed,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,1500,1500,1000,0,0,20270731,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,1500,1500,1000,0,0,20270732,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,1500,1500,1000,0,0,20270733,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,1500,1500,1000,0,0,20270734,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,1500,1500,1000,0,0,20270735,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,1500,1500,1000,0,0,20270736,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,1500,1500,1000,0,0,20270737,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,1500,1499,1000,1,1,20270738,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,1500,1500,1000,0,0,20270739,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,1500,1499,1000,1,1,20270740,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20270741,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,1500,1500,1000,0,0,20270742,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20270743,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,14,first_timing_above_250,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20270744,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,15,last_timing_above_250,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20270745,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,1500,1499,1000,1,1,20270746,parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,1500,1500,1000,0,0,20270747,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,1500,1500,1000,0,0,20271733,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,1500,1499,1000,1,1,20271734,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,1500,1500,1000,0,0,20271735,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,6,duration_above_1000,participant_day,tweedie_log,identity,1500,1500,1000,0,0,20271736,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,7,duration_above_250_wake,participant_day,tweedie_log,identity,1500,1500,1000,0,0,20271737,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,1500,1499,1000,1,1,20271738,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,1500,1497,1000,3,3,20271739,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,1500,1500,1000,0,0,20271740,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,11,m10_midpoint,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20271741,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,1500,1500,1000,0,0,20271742,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20271743,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20271744,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,15,last_timing_above_250,participant_day,gaussian,clock_hours,1500,1500,1000,0,0,20271745,parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,1500,1499,1000,1,1,20271746,parametric_percentile,PASS
