run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,omitted_site,observations,participants,sites,refit_error,refit_warnings,term,term_label,estimate_model,std_error,conf_low_model,conf_high_model,p_raw,effect_type,estimate_practical,conf_low_practical,conf_high_practical,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,BAUA,134,134,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.00332347544790293,0.01993499994750858,-0.0423953573768276,0.03574840648102174,0.8675938314600125,odds_ratio,0.9966820411834684,0.9584907592606908,1.0363950634055783,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,FUSPCEU,131,131,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.01437423299212822,0.02017716154343184,-0.05392074292750123,0.02517227694324479,0.47621640653943714,odds_ratio,0.9857285830713736,0.947507200172764,1.02549177389547,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,IZTECH,136,136,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.00948902104782105,0.019335558717131,-0.0473860197543573,0.02840797765871519,0.6235997801771838,odds_ratio,0.9905558576485928,0.9537191720832504,1.028815332482684,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,KNUST,138,138,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.01122019810828518,0.02110923319364986,-0.05259353490909631,0.03015313869252595,0.5950513154713527,odds_ratio,0.9888425135496276,0.9487655742036648,1.030612348497002,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,RISE,137,137,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.01733548029983871,0.02058139627165728,-0.05767427574383392,0.02300331514415649,0.39962629875462874,odds_ratio,0.9828139146155692,0.9439573671783238,1.0232699318289296,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,THUAS,138,138,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.00218123544284896,0.02005151019196514,-0.04148147325473846,0.03711900236904052,0.9133757150396876,odds_ratio,0.9978211417224796,0.9593671091268696,1.037816516113943,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,TUM,143,143,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.00983729074211456,0.01825498444234493,-0.04561640278744962,0.02594182130322049,0.5899679675413558,odds_ratio,0.9902109371290372,0.9554083838999596,1.026281239031534,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,UCR,114,114,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,-0.00408351126321265,0.02890424278060463,-0.06073478611359959,0.05256776358717427,0.8876509395274077,odds_ratio,0.99592481493168,0.9410727922547752,1.05397398071644,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,BAUA,134,134,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.02377478880947454,0.0180563697146248,-0.01161504552272982,0.05916462314167891,0.18793982008226132,difference,0.02377478880947454,-0.01161504552272982,0.05916462314167891,wald_normal,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,FUSPCEU,131,131,7,,,absolute_latitude_10deg_centered,Absolute latitude per 10 degrees,0.01681677112141616,0.01902621467802881,-0.02047392440964764,0.05410746665247996,0.3767643857913372,difference,0.01681677112141616,-0.02047392440964764,0.05410746665247996,wald_normal,PASS
