"check","pass","detail"
"S4_exact_authorized_column_omission",TRUE,""
"S4_one_physical_table",TRUE,""
"S4_four_identical_omitted_values",TRUE,""
"S4_notes_caption_title_exact",TRUE,""
"S7_exact_all_25_rows_after_repeated_headers",TRUE,""
"S7_17_exact_metric_rows",TRUE,""
"S7_two_parts_split_before_Timing",TRUE,""
"S7_identical_widths",TRUE,""
"S7_notes_caption_title_exact",TRUE,""
"All_sections_A4",TRUE,""
"Exactly_47_display_appearances",TRUE,""
"Exactly_3_native_table_parts_in_main",TRUE,""
"One_full_S8_appearance",TRUE,""
"Five_accessible_titles_match_revised_descriptions",TRUE,""
"No_cropped_figures",TRUE,""
"Unique_anchor_S15",TRUE,""
"Unique_anchor_S16",TRUE,""
"Unique_anchor_S17",TRUE,""
"Unique_anchor_S18",TRUE,""
"Every_internal_hyperlink_resolves",TRUE,""
"Unique_bookmark_names",TRUE,""
"No_unapproved_paragraph_removal",TRUE,"9 changed strings"
"Exact_removed_paragraph_whitelist",TRUE,""
"Exact_added_paragraph_whitelist",TRUE,""
"All_other_nonempty_body_paragraphs_exact_and_in_order",TRUE,"295 unchanged paragraphs including title, authors, affiliations, declarations and references"
"Exact_Table_1.docx",TRUE,""
"Exact_Table_2.docx",TRUE,""
"Exact_Table_3.docx",TRUE,""
"Exact_Table_S1.docx",TRUE,""
"Exact_Table_S10.docx",TRUE,""
"Exact_Table_S11a.docx",TRUE,""
"Exact_Table_S11b.docx",TRUE,""
"Exact_Table_S12.docx",TRUE,""
"Exact_Table_S13.docx",TRUE,""
"Exact_Table_S14.docx",TRUE,""
"Exact_Table_S15.docx",TRUE,""
"Exact_Table_S2.docx",TRUE,""
"Exact_Table_S3.docx",TRUE,""
"Exact_Table_S5.docx",TRUE,""
"Exact_Table_S6.docx",TRUE,""
"Exact_Table_S8.docx",TRUE,""
"Exact_Table_S9.docx",TRUE,""
