"manifest","path","expected_sha256","observed_sha256","expected_bytes","observed_bytes","pass"
"release_manifest.csv","audit/report_harmonization/owner_orders/72f_selection_standalone_output_recovery.md","476ce9a9bb196c8413ff36e5ed26f81b1e9284d5ce4b7fc1526bb162a698031f","476ce9a9bb196c8413ff36e5ed26f81b1e9284d5ce4b7fc1526bb162a698031f",6951,6951,TRUE
"release_manifest.csv","audit/manuscript_nature_health/manuscript_figure_table_selection.qmd","9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3","9acec033d0c24cbb0ee7649c38f55d5cea90052e11b6be7fc5f9e7310890d8f3",49865,49865,TRUE
"release_manifest.csv","audit/manuscript_nature_health/manuscript_figure_table_selection.html","82100e0d3990dec39f61e94970e7a434b02cf94a6d25819ede1be4d24f4130a6","82100e0d3990dec39f61e94970e7a434b02cf94a6d25819ede1be4d24f4130a6",30925051,30925051,TRUE
"release_manifest.csv","scripts/report_harmonization/build_manuscript_figure_table_selection.R","f13b817869dd59d2d687dac6c09aec778622a1ed42530849d5b79fdc79bf778e","f13b817869dd59d2d687dac6c09aec778622a1ed42530849d5b79fdc79bf778e",73914,73914,TRUE
"release_manifest.csv","scripts/report_harmonization/replay_manuscript_figure_table_selection_integration.R","cb9b4558024c71550365e8fd82d28b9506cfbd97f598a65829e7cd40115683eb","cb9b4558024c71550365e8fd82d28b9506cfbd97f598a65829e7cd40115683eb",19177,19177,TRUE
"release_manifest.csv","scripts/report_harmonization/check_manuscript_figure_table_selection.R","a49c747fe891cbc2ce2d9d32592d567bb0b9cd1cd3843543b4f979a3b7908fcd","a49c747fe891cbc2ce2d9d32592d567bb0b9cd1cd3843543b4f979a3b7908fcd",24779,24779,TRUE
"release_manifest.csv","audit/manuscript_nature_health/figure_table_selection_assets/selection_asset_manifest.csv","30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640","30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640",7553,7553,TRUE
"release_manifest.csv","audit/manuscript_nature_health/figure_table_selection_qa/structural_checks.csv","02d2781c1c0f98069504bfb513b497ccaf56152e5e644dcb0b9bcb82469cfd96","02d2781c1c0f98069504bfb513b497ccaf56152e5e644dcb0b9bcb82469cfd96",9453,9453,TRUE
"release_manifest.csv","manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd","bda9f4ad9c974c6e23cc358d687cc05848df06b5c614f6f564c07c46dee71d09","bda9f4ad9c974c6e23cc358d687cc05848df06b5c614f6f564c07c46dee71d09",81536,81536,TRUE
"release_manifest.csv","manuscript/R0_NatHealth/supplementary_information_outline.qmd","fbfdde52cd24a60a5ff19eefb7901d3b7dcb268d97c2c922e0e87e7c944c652e","fbfdde52cd24a60a5ff19eefb7901d3b7dcb268d97c2c922e0e87e7c944c652e",25590,25590,TRUE
